Postal code,Region,Neighbourhood
V5A,Burnaby,Government Road / Lake City / SFU / Burnaby Mountain
V5B,Burnaby,Parkcrest-Aubrey / Ardingley-Sprott
V5C,Burnaby,Burnaby Heights / Willingdon Heights / West Central Valley
V5E,Burnaby,Lakeview-Mayfield / Richmond Park / Kingsway-Beresford
V5G,Burnaby,Cascade-Schou / Douglas-Gilpin
V5H,Burnaby,Maywood / Marlborough / Oakalla / Windsor
V5J,Burnaby,Suncrest / Sussex-Nelson / Clinton-Glenwood / West Big Bend
V5K,Vancouver,North Hastings-Sunrise
V5L,Vancouver,North Grandview- Woodland
V5M,Vancouver,South Hastings-Sunrise / North Renfrew- Collingwood
V5N,Vancouver,South Grandview- Woodland / NE Kensington-Cedar Cottage
V5P,Vancouver,SE Kensington-Cedar Cottage / Victoria- Fraserview
V5R,Vancouver,South Renfrew- Collingwood
V5S,Vancouver,Killarney
V5T,Vancouver,East Mount Pleasant
V5V,Vancouver,West Kensington-Cedar Cottage / NE Riley Park
V5W,Vancouver,SE Riley Park / SW Kensington-Cedar Cottage / NE Oakridge / North Sunset
V5X,Vancouver,SE Oakridge / East Marpole / South Sunset
V5Y,Vancouver,West Mount Pleasant / West Riley Park
V5Z,Vancouver,East Fairview / South Cambie
V6A,Vancouver,Strathcona / Chinatown / Downtown Eastside
V6B,Vancouver,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown
V6C,Vancouver,Waterfront / Coal Harbour / Canada Place
V6E,Vancouver,SE West End / Davie Village
V6G,Vancouver,NW West End / Stanley Park
V6H,Vancouver,West Fairview / Granville Island / NE Shaughnessy
V6J,Vancouver,NW Shaughnessy / East Kitsilano / Quilchena
V6K,Vancouver,Central Kitsilano / Greektown
V6L,Vancouver,NW Arbutus Ridge / NE Dunbar- Southlands
V6M,Vancouver,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge
V6N,Vancouver,West Kerrisdale / South Dunbar- Southlands / Musqueam
V6P,Vancouver,SE Kerrisdale / SW Oakridge / West Marpole
V6R,Vancouver,West Kitsilano / West Point Grey / Jericho
V6S,Vancouver,NW Dunbar- Southlands / Chaldecutt / South University Endowment Lands
V6T,Vancouver,UBC
V6V,Richmond Northeast,Richmond Northeast
V6W,Richmond Southeast,Richmond Southeast
V6X,Richmond North,Richmond North
V6Y,Richmond Central,Richmond Central
V6Z,Vancouver,SW Downtown
V7A,Richmond South,Richmond South
V7B,Richmond,Sea Island / YVR
V7C,Richmond Northwest,Richmond Northwest
V7E,Richmond Southwest,Richmond Southwest
V7G,North Vancouver,district municipality) Outer East
V7H,North Vancouver,district municipality) Inner East
V7J,North Vancouver,district municipality) East Central
V7K,North Vancouver,district municipality) North Central
V7L,North Vancouver,city) South Central
V7M,North Vancouver,city) Southwest Central
V7N,North Vancouver,district municipality) Northwest Central
V7P,North Vancouver,city) Southwest
V7R,North Vancouver,district municipality) Northwest
V7S,West Vancouver North,West Vancouver North
V7T,West Vancouver Southeast,West Vancouver Southeast
V7V,West Vancouver South,West Vancouver South
V7W,West Vancouver West,West Vancouver West
V7X,Vancouver,Bentall Centre
V7Y,Vancouver,Pacific Centre
V7Z,Sechelt,Halfmoon Bay
V8A,Powell River,Powell River
V8B,Squamish,Squamish
V8C,Kitimat,Kitimat
V8E,Whistler,Whistler
V8G,Terrace,Terrace
V8H,Cobble Hill / Mill Bay / Shawnigan Lake,Cobble Hill / Mill Bay / Shawnigan Lake
V8J,Prince Rupert,Prince Rupert
V8K,Salt Spring Island,Salt Spring Island
V8L,Sidney,North Saanich / YYJ
V8M,Central Saanich,Central Saanich
V8N,Victoria,East Saanich
V8P,Victoria,SE Saanich / UVic
V8R,Victoria,North Oak Bay / North Fernwood / North Jubilee / South Jubilee / East Oaklands
V8S,Victoria,South Oak Bay / East Fairfield / Gonzales / South Fernwood / Rockland
V8T,Victoria,SE Burnside / Hillside-Quadra / North Park / West Oaklands / Rock Bay
V8V,Victoria,Cook Street Village / West Fairfield / Harris Green / Humboldt Valley / James Bay
V8W,Victoria,Downtown / Chinatown)British Columbia Provincial Government
V8X,Victoria,South Saanich
V8Y,Victoria,NE Saanich
V8Z,Victoria,Middle Saanich
V9A,Victoria,Vic West / Esquimalt)Canadian Forces (MARPAC
V9B,Victoria,West Highlands / North Langford / View Royal
V9C,Victoria,Colwood / South Langford / Metchosin
V9E,Victoria,East Highlands / NW Saanich
V9G,Ladysmith,Ladysmith
V9H,Campbell River Outskirts,Campbell River Outskirts
V9J,Courtenay Northern Outskirts,Courtenay Northern Outskirts
V9K,Qualicum Beach,Qualicum Beach
V9L,Duncan,Duncan
V9M,Comox,Comox
V9N,Courtenay Central,Courtenay Central
V9P,Parksville,Parksville
V9R,Nanaimo South,Nanaimo South
V9S,Nanaimo Central,Nanaimo Central
V9T,Nanaimo,North / Wellington / Northfield / Departure Bay
V9V,Nanaimo Northwest,Nanaimo Northwest
V9W,Campbell River Central,Campbell River Central
V9X,Nanaimo,Cedar
V9Y,Port Alberni,Port Alberni
V9Z,Sooke,Sooke
