Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area,geometry,Neighbourhood,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year)
223,2068 E 49th Ave,V5P1T7,49.22485,-123.064401,Vancouver,2688000.0,8 bds,6 ba,"4,132 sqft",0,0,1,9,85,0,36,5,0,11,0,0,0,0,1,POINT (-123.064401 49.22485),Victoria-Fraserview,2680.0,536.0,260.0,52.0,272.0,54.0,2148.0,430.0
224,277 Thurlow St #2601,V6C0C1,49.288884,-123.11914,Vancouver,9988000.0,3 bds,4 ba,"3,322 sqft",0,6,29,10,120,25,245,154,0,104,0,0,0,0,9,POINT (-123.11914 49.288884),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
225,5595 Dumfries St,V5P3A5,49.233783,-123.074635,Vancouver,1899999.0,8 bds,4 ba,"2,815 sqft",0,0,0,9,86,1,36,4,0,9,0,0,0,0,1,POINT (-123.074635 49.233783),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
226,603 E 57th Ave,V5X1T1,49.218537,-123.092892,Vancouver,2998000.0,7 bds,6 ba,"3,170 sqft",0,0,0,5,61,0,27,9,0,13,0,0,0,0,3,POINT (-123.092892 49.218537),Sunset,5717.0,1143.0,441.0,88.0,389.0,78.0,4887.0,977.0
227,1817 W 15th Ave,V6J2K9,49.258381,-123.146445,Vancouver,3598000.0,4 bds,4 ba,"2,422 sqft",0,0,1,7,92,2,80,35,2,12,0,0,0,0,4,POINT (-123.146445 49.258381),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
228,2025 Stephens St #201,V6K3W2,49.268069,-123.16671,Vancouver,545000.0,1 bd,1 ba,497 sqft,0,0,0,10,55,6,70,28,0,10,0,0,0,0,3,POINT (-123.16671 49.268069),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
229,2172 Wall St,V5L1B5,49.287898,-123.060013,Vancouver,939000.0,2 bds,2 ba,965 sqft,0,0,0,1,38,3,30,13,0,5,0,0,0,0,0,POINT (-123.060013 49.287898),Grandview-Woodland,8009.0,1602.0,1172.0,234.0,963.0,193.0,5874.0,1175.0
230,3220 W 4th Ave #303,V6K1R9,49.268211,-123.176302,Vancouver,1099000.0,2 bds,2 ba,"1,049 sqft",0,0,0,8,64,4,59,22,0,12,0,0,0,0,2,POINT (-123.176302 49.268211),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
231,3256 W 21st Ave,V6L1L2,49.253472,-123.177205,Vancouver,5580000.0,4 bds,5 ba,"3,620 sqft",0,0,0,7,67,3,45,14,0,11,0,0,0,0,2,POINT (-123.177205 49.253472),Dunbar-Southlands,1840.0,368.0,172.0,34.0,316.0,63.0,1352.0,270.0
232,1958 E 47th Ave #406,V5P3X5,49.227335,-123.066077,Vancouver,608000.0,2 bds,1 ba,863 sqft,0,0,1,9,92,1,43,6,0,12,0,0,0,0,1,POINT (-123.066077 49.227335),Victoria-Fraserview,2680.0,536.0,260.0,52.0,272.0,54.0,2148.0,430.0
233,2556 Hastings St E #L01,V5K1Z3,49.280884,-123.053231,Vancouver,549000.0,1 bd,1 ba,761 sqft,0,0,0,1,53,3,34,15,0,9,0,0,0,0,2,POINT (-123.053231 49.280884),Hastings-Sunrise,4895.0,979.0,469.0,94.0,651.0,130.0,3775.0,755.0
234,2282 E 8th Ave #3,V5N1V5,49.262927,-123.05849,Vancouver,1799900.0,3 bds,3 ba,"1,444 sqft",0,2,0,3,55,1,43,11,0,20,0,0,0,0,3,POINT (-123.05849 49.262927),Grandview-Woodland,8009.0,1602.0,1172.0,234.0,963.0,193.0,5874.0,1175.0
235,7303 Granville St,V6P4Y3,49.218971,-123.139713,Vancouver,1499900.0,3 bds,3 ba,"1,475 sqft",0,0,0,2,65,1,26,7,0,9,0,0,0,0,1,POINT (-123.139713 49.218971),Marpole,4012.0,802.0,354.0,71.0,643.0,129.0,3015.0,603.0
236,128 Cordova St W #4004,V6B0E6,49.282525,-123.107958,Vancouver,699000.0,1 bd,1 ba,646 sqft,0,9,22,12,138,33,204,136,0,112,0,0,0,0,8,POINT (-123.107958 49.282525),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
237,4393 Puget Dr,V6L2V7,49.246957,-123.167479,Vancouver,4390000.0,5 bds,4 ba,"3,573 sqft",0,0,1,1,45,0,4,2,0,2,0,0,0,0,0,POINT (-123.167479 49.246957),Arbutus Ridge,1417.0,283.0,80.0,16.0,278.0,56.0,1059.0,212.0
238,710 Chilco St #303,V6G2P9,49.293438,-123.137924,Vancouver,998000.0,2 bds,1 ba,965 sqft,0,0,0,8,43,5,129,42,0,28,0,0,0,0,7,POINT (-123.137924 49.293438),West End,13175.0,2635.0,2286.0,457.0,1146.0,229.0,9743.0,1949.0
239,1468 W 14th Ave #703,V6H0A2,49.258615,-123.137357,Vancouver,1188000.0,2 bds,2 ba,900 sqft,1,0,2,4,85,3,71,33,2,13,0,0,0,0,5,POINT (-123.137357 49.258615),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
240,1048 E 7th Ave #3A,V5T1P7,49.264003,-123.082144,Vancouver,699000.0,2 bds,1 ba,698 sqft,0,2,0,7,77,1,58,16,0,23,0,0,0,0,3,POINT (-123.082144 49.264003),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
241,33 W Pender St #504,V6B0E5,49.281126,-123.106294,Vancouver,650000.0,1 bd,1 ba,770 sqft,0,8,21,11,165,33,193,127,0,102,0,0,0,0,7,POINT (-123.106294 49.281126),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
242,756 W 22nd Ave,V5Z1Z7,49.251345,-123.121503,Vancouver,3998000.0,4 bds,4 ba,"2,773 sqft",2,2,3,4,74,0,66,34,0,15,0,0,0,0,4,POINT (-123.121503 49.251345),South Cambie,1668.0,334.0,94.0,19.0,303.0,61.0,1271.0,254.0
243,4573 Slocan St #201,V5R1Z8,49.243776,-123.050776,Vancouver,829999.0,2 bds,2 ba,820 sqft,0,2,0,2,88,0,28,1,0,4,0,0,0,0,2,POINT (-123.050776 49.243776),Renfrew-Collingwood,10181.0,2036.0,662.0,132.0,714.0,143.0,8805.0,1761.0
244,3982 W 35th Ave,V6N2P2,49.240226,-123.193184,Vancouver,5600000.0,5 bds,5 ba,"3,872 sqft",0,0,0,2,38,0,10,1,0,2,0,0,0,0,2,POINT (-123.193184 49.240226),Dunbar-Southlands,1840.0,368.0,172.0,34.0,316.0,63.0,1352.0,270.0
245,1633 W 8th Ave #506,V6J5H7,49.264789,-123.141695,Vancouver,998800.0,2 bds,2 ba,"1,032 sqft",0,0,2,4,75,3,99,46,2,27,0,0,0,0,4,POINT (-123.141695 49.264789),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
246,239 W 16th Ave,V5Y1Y8,49.257072,-123.110548,Vancouver,2189000.0,5 bds,3 ba,"2,306 sqft",0,3,3,8,92,3,143,53,0,28,0,0,0,0,5,POINT (-123.110548 49.257072),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
247,1510 W 33rd Ave,V6M1A7,49.241565,-123.139727,Vancouver,6880000.0,6 bds,10 ba,"7,748 sqft",0,0,1,0,57,0,3,2,0,0,0,0,0,0,0,POINT (-123.139727 49.241565),Shaughnessy,1410.0,282.0,89.0,18.0,373.0,75.0,948.0,190.0
248,3018 Knight St,V5N3K4,49.257463,-123.075921,Vancouver,2599000.0,6 bds,4 ba,"2,480 sqft",0,3,0,6,85,1,63,17,0,22,0,0,0,0,3,POINT (-123.075921 49.257463),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
249,730 Hawks Ave,V6A3J3,49.277678,-123.08707,Vancouver,1299000.0,3 bds,3 ba,"1,361 sqft",0,1,1,3,94,6,42,23,0,7,0,0,0,0,1,POINT (-123.08707 49.277678),Strathcona,12000.0,2400.0,2777.0,555.0,1155.0,231.0,8068.0,1614.0
250,638 W 17th Ave,V5Z1T8,49.255812,-123.118959,Vancouver,2899999.0,8 bds,4 ba,"3,047 sqft",2,3,4,6,79,1,92,43,1,17,0,0,0,0,5,POINT (-123.118959 49.255812),South Cambie,1668.0,334.0,94.0,19.0,303.0,61.0,1271.0,254.0
251,3491 E Pender St,V5K2C9,49.280492,-123.028763,Vancouver,1960000.0,4 bds,4 ba,"2,532 sqft",0,0,0,1,56,0,12,8,0,3,0,0,0,0,1,POINT (-123.028763 49.280492),Hastings-Sunrise,4895.0,979.0,469.0,94.0,651.0,130.0,3775.0,755.0
252,885 Cambie St #2104,V6B0R6,49.277518,-123.116547,Vancouver,2438000.0,3 bds,3 ba,"1,434 sqft",0,9,29,18,164,38,309,185,1,148,0,0,0,0,11,POINT (-123.116547 49.277518),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
253,1502 Island Park Walk #301,V6H3Z8,49.270581,-123.139126,Vancouver,1249000.0,2 bds,2 ba,"1,079 sqft",0,0,3,8,84,7,127,57,2,44,0,0,0,0,6,POINT (-123.139126 49.270581),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
254,1508 W 61st Ave,V5P2J4,49.214369,-123.075481,Vancouver,1250000.0,3 bds,3 ba,"1,100 sqft",0,0,1,1,57,0,5,0,0,6,0,0,0,0,0,POINT (-123.075481 49.214369),Victoria-Fraserview,2680.0,536.0,260.0,52.0,272.0,54.0,2148.0,430.0
255,1068 W 15th Ave,V6H1R6,49.257605,-123.128894,Vancouver,1499999.0,3 bds,3 ba,"1,115 sqft",2,0,4,3,80,0,74,37,1,17,0,0,0,0,3,POINT (-123.128894 49.257605),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
256,2618 W 15th Ave,V6K2Z5,49.258348,-123.165387,Vancouver,2998000.0,4 bds,3 ba,"2,571 sqft",0,0,0,9,83,4,65,24,0,11,0,0,0,0,3,POINT (-123.165387 49.258348),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
257,1534 Harwood St #702,V6G1X9,49.283224,-123.1405,Vancouver,327000.0,1 bd,1 ba,550 sqft,0,0,1,12,52,6,162,55,0,49,0,0,0,0,7,POINT (-123.1405 49.283224),West End,13175.0,2635.0,2286.0,457.0,1146.0,229.0,9743.0,1949.0
258,1369 E 24th Ave,V5V1Z4,49.249252,-123.07696,Vancouver,1239000.0,2 bds,2 ba,"1,173 sqft",0,0,0,4,78,0,46,12,0,8,0,0,0,0,1,POINT (-123.07696 49.249252),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
259,1777 Bayshore Dr #1101,V6G3H2,49.292959,-123.132023,Vancouver,2899900.0,3 bds,3 ba,"1,786 sqft",0,0,5,12,62,6,190,66,0,43,0,0,0,0,9,POINT (-123.132023 49.292959),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
260,4815 Eldorado Mews #2401,V5R0B2,49.241221,-123.057581,Vancouver,868000.0,2 bds,2 ba,871 sqft,0,2,0,8,93,0,64,5,0,10,0,0,0,0,3,POINT (-123.057581 49.241221),Renfrew-Collingwood,10181.0,2036.0,662.0,132.0,714.0,143.0,8805.0,1761.0
261,431 Heatley Ave,V6A3G6,49.280531,-123.089821,Vancouver,1599900.0,2 bds,3 ba,"1,469 sqft",0,2,1,3,93,6,51,22,0,9,0,0,0,0,1,POINT (-123.089821 49.280531),Strathcona,12000.0,2400.0,2777.0,555.0,1155.0,231.0,8068.0,1614.0
262,7418 Paulson St #903,V6P0K2,49.217659,-123.119322,Vancouver,1400000.0,2 bds,2 ba,"1,017 sqft",0,2,0,1,45,1,6,9,1,8,0,0,0,0,1,POINT (-123.119322 49.217659),Marpole,4012.0,802.0,354.0,71.0,643.0,129.0,3015.0,603.0
263,49 Cordova St E,V6A1K3,49.282152,-123.103059,Vancouver,1049000.0,1 bd,2 ba,"1,049 sqft",0,7,18,8,141,30,145,100,0,85,0,0,0,0,6,POINT (-123.103059 49.282152),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
264,1450 W 6th Ave #307,V6H4H9,49.265704,-123.137742,Vancouver,1298000.0,2 bds,2 ba,"1,158 sqft",1,0,3,7,76,3,96,49,2,27,0,0,0,0,5,POINT (-123.137742 49.265704),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
265,3707 Hudson St,V6H3A6,49.252101,-123.134899,Vancouver,7980000.0,5 bds,4 ba,"4,896 sqft",1,0,1,2,71,0,40,24,0,12,0,0,0,0,2,POINT (-123.134899 49.252101),Shaughnessy,1410.0,282.0,89.0,18.0,373.0,75.0,948.0,190.0
266,1188 Richards St #402,V6B3E6,49.27599,-123.123515,Vancouver,499900.0,1 bd,1 ba,405 sqft,0,5,27,17,147,26,323,162,1,122,0,0,0,0,12,POINT (-123.123515 49.27599),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
267,2275 W 40th Ave #204,V6M1W7,49.235845,-123.159524,Vancouver,949000.0,2 bds,2 ba,"1,128 sqft",0,0,2,4,55,0,30,12,0,7,0,0,0,0,1,POINT (-123.159524 49.235845),Arbutus Ridge,1417.0,283.0,80.0,16.0,278.0,56.0,1059.0,212.0
268,45 W 15th Ave,V5Y1X7,49.257827,-123.106234,Vancouver,2589900.0,4 bds,4 ba,"2,077 sqft",1,3,3,11,91,7,142,55,0,29,0,0,0,0,6,POINT (-123.106234 49.257827),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
269,1188 Howe St #607,V6Z2S8,49.278315,-123.12697,Vancouver,789000.0,2 bds,2 ba,821 sqft,0,4,23,19,139,23,310,143,1,115,0,0,0,0,13,POINT (-123.12697 49.278315),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
270,371 E 16th Ave,V5T2T7,49.256801,-123.096832,Vancouver,1575000.0,3 bds,3 ba,"1,455 sqft",1,0,1,8,87,4,118,39,0,26,0,0,0,0,2,POINT (-123.096832 49.256801),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
271,1501 Atlas Ln,V6P0C9,49.220484,-123.141817,Vancouver,2999000.0,2 bds,3 ba,"2,951 sqft",0,0,0,2,61,1,24,6,0,7,0,0,0,0,1,POINT (-123.141817 49.220484),Kerrisdale,1477.0,295.0,107.0,21.0,362.0,72.0,1008.0,202.0
272,1735 W 16th Ave,V6J2L9,49.25741,-123.144543,Vancouver,2388000.0,2 bds,3 ba,"2,313 sqft",0,0,1,6,90,1,72,32,2,14,0,0,0,0,4,POINT (-123.144543 49.25741),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
273,356 W 15th Ave #2,V5Y1Y2,49.2575,-123.112465,Vancouver,1098000.0,2 bds,1 ba,876 sqft,1,3,5,6,85,3,124,48,1,23,0,0,0,0,4,POINT (-123.112465 49.2575),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
274,8131 Nunavut Ln #2502,V5X0E2,49.211335,-123.116532,Vancouver,868000.0,2 bds,2 ba,779 sqft,0,1,0,1,24,1,4,7,1,5,0,0,0,0,1,POINT (-123.116532 49.211335),Marpole,4012.0,802.0,354.0,71.0,643.0,129.0,3015.0,603.0
275,4615 W 4th Ave,V6R1R6,49.269314,-123.212434,Vancouver,3368000.0,5 bds,2 ba,"2,300 sqft",0,0,1,0,37,0,15,4,0,7,0,0,0,0,2,POINT (-123.212434 49.269314),West Point Grey,1463.0,293.0,100.0,20.0,313.0,63.0,1050.0,210.0
276,1383 W 32nd Ave,V6H2J4,49.244418,-123.136819,Vancouver,10280000.0,4 bds,3 ba,"4,410 sqft",1,0,0,0,63,0,9,11,0,2,0,0,0,0,1,POINT (-123.136819 49.244418),Shaughnessy,1410.0,282.0,89.0,18.0,373.0,75.0,948.0,190.0
277,6511 Chambord Pl #40,V5S4P2,49.223979,-123.025559,Vancouver,1398000.0,4 bds,2 ba,"1,820 sqft",0,0,0,2,74,0,30,14,0,7,0,0,0,0,2,POINT (-123.025559 49.223979),Killarney,2576.0,515.0,287.0,57.0,306.0,61.0,1983.0,397.0
278,2550 Garden Dr #302,V5N4X6,49.261596,-123.057753,Vancouver,814900.0,1 bd,1 ba,637 sqft,0,4,0,2,61,1,36,11,0,19,0,0,0,0,3,POINT (-123.057753 49.261596),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
279,3225 Clark Dr,V5V4Y1,49.255906,-123.078186,Vancouver,1699900.0,4 bds,4 ba,"1,616 sqft",0,3,0,4,89,1,68,14,0,18,0,0,0,0,3,POINT (-123.078186 49.255906),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
280,3835 Selkirk St,V6H2Z1,49.251221,-123.132307,Vancouver,7990000.0,6 bds,7 ba,"6,257 sqft",2,0,0,2,67,0,34,21,0,8,0,0,0,0,3,POINT (-123.132307 49.251221),Shaughnessy,1410.0,282.0,89.0,18.0,373.0,75.0,948.0,190.0
281,1111 Richards St #2705,V6B0S3,49.277007,-123.123204,Vancouver,2999000.0,3 bds,3 ba,"1,781 sqft",0,6,28,18,147,27,308,162,1,129,0,0,0,0,12,POINT (-123.123204 49.277007),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
282,8283 Heather St,V6P6S8,49.210851,-123.124327,Vancouver,1990000.0,4 bds,3 ba,"1,993 sqft",0,1,0,1,38,1,9,8,1,6,0,0,0,0,1,POINT (-123.124327 49.210851),Marpole,4012.0,802.0,354.0,71.0,643.0,129.0,3015.0,603.0
283,1375 Graveley St,V5L3A1,49.270826,-123.075628,Vancouver,1899900.0,6 bds,3 ba,"2,620 sqft",0,3,0,9,78,3,76,27,0,24,0,0,0,0,3,POINT (-123.075628 49.270826),Grandview-Woodland,8009.0,1602.0,1172.0,234.0,963.0,193.0,5874.0,1175.0
284,557 Rupert St,V5K4K6,49.279434,-123.034049,Vancouver,1799000.0,6 bds,2 ba,"1,776 sqft",0,0,1,0,64,0,10,8,0,5,0,0,0,0,0,POINT (-123.034049 49.279434),Hastings-Sunrise,4895.0,979.0,469.0,94.0,651.0,130.0,3775.0,755.0
285,1239 Georgia St W #2803,V6E4R8,49.287732,-123.125626,Vancouver,2199000.0,4 bds,4 ba,"2,445 sqft",0,4,22,23,131,24,339,159,0,117,0,0,0,0,14,POINT (-123.125626 49.287732),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
286,5755 Angus Dr,V6M3N7,49.234042,-123.148231,Vancouver,10880000.0,7 bds,8 ba,"5,660 sqft",0,0,1,4,74,0,31,13,0,7,0,0,0,0,1,POINT (-123.148231 49.234042),Kerrisdale,1477.0,295.0,107.0,21.0,362.0,72.0,1008.0,202.0
287,1419 E 27th Ave,V5N2W6,49.246654,-123.075422,Vancouver,1588000.0,3 bds,2 ba,"1,359 sqft",0,0,0,6,70,0,48,9,0,6,0,0,0,0,1,POINT (-123.075422 49.246654),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
288,2275 E Pender St,V5L1X5,49.280518,-123.058328,Vancouver,1599000.0,4 bds,2 ba,"1,842 sqft",0,0,0,3,51,3,51,24,0,11,0,0,0,0,2,POINT (-123.058328 49.280518),Grandview-Woodland,8009.0,1602.0,1172.0,234.0,963.0,193.0,5874.0,1175.0
289,2888 Cambie St #702,V5Z0H3,49.259754,-123.114732,Vancouver,1300000.0,2 bds,2 ba,"1,041 sqft",1,3,5,7,72,3,101,43,1,18,0,0,0,0,5,POINT (-123.114732 49.259754),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
290,2277 E 30th Ave #309,V5N5N1,49.24154,-123.059303,Vancouver,439000.0,1 bd,1 ba,686 sqft,0,1,0,8,90,0,64,5,0,10,0,0,0,0,3,POINT (-123.059303 49.24154),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
291,8488 Cornish St #619,V6P0C2,49.208889,-123.141934,Vancouver,918900.0,2 bds,2 ba,898 sqft,0,1,0,2,51,1,33,12,0,14,0,0,0,0,1,POINT (-123.141934 49.208889),Marpole,4012.0,802.0,354.0,71.0,643.0,129.0,3015.0,603.0
292,4455 W 1st Ave,V6R4H9,49.272334,-123.207492,Vancouver,6490000.0,5 bds,6 ba,"3,995 sqft",0,0,1,0,36,0,14,4,0,6,0,0,0,0,2,POINT (-123.207492 49.272334),West Point Grey,1463.0,293.0,100.0,20.0,313.0,63.0,1050.0,210.0
293,2210 Willow St,V5Z0C8,49.288756,-123.060169,Vancouver,1848000.0,4 bds,3 ba,"1,689 sqft",0,0,0,1,37,3,30,12,0,5,0,0,0,0,0,POINT (-123.060169 49.288756),Grandview-Woodland,8009.0,1602.0,1172.0,234.0,963.0,193.0,5874.0,1175.0
294,3061 E Kent Ave N #1205,V5S2L7,49.207247,-123.044585,Vancouver,724500.0,2 bds,2 ba,"1,247 sqft",0,0,0,2,21,0,4,1,0,4,0,0,0,0,1,POINT (-123.044585 49.207247),Killarney,2576.0,515.0,287.0,57.0,306.0,61.0,1983.0,397.0
295,1000 Beach Ave #704,V6E4M2,49.275624,-123.134213,Vancouver,1498000.0,2 bds,2 ba,"1,280 sqft",0,1,7,12,102,16,209,88,0,73,0,0,0,0,6,POINT (-123.134213 49.275624),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
296,2190 W 7th Ave #111,V6K4K7,49.265347,-123.154679,Vancouver,649900.0,1 bd,1 ba,496 sqft,0,0,0,9,61,4,84,35,2,12,0,0,0,0,5,POINT (-123.154679 49.265347),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
297,1283 Howe St #3208,V6Z0E3,49.277218,-123.128625,Vancouver,1078000.0,2 bds,2 ba,785 sqft,0,3,14,19,124,21,281,127,1,108,0,0,0,0,12,POINT (-123.128625 49.277218),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
298,1499 W Pender St #1303,V6G2S3,49.289964,-123.128049,Vancouver,1638000.0,2 bds,3 ba,"1,220 sqft",0,2,9,18,111,18,289,126,0,90,0,0,0,0,12,POINT (-123.128049 49.289964),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
299,4007 W 19th Ave,V6S1E2,49.255859,-123.193925,Vancouver,4398000.0,5 bds,6 ba,"2,967 sqft",0,0,0,1,45,1,18,2,0,5,0,0,0,0,3,POINT (-123.193925 49.255859),Dunbar-Southlands,1840.0,368.0,172.0,34.0,316.0,63.0,1352.0,270.0
300,4907 Walden St,V5W2V6,49.240342,-123.100534,Vancouver,1899000.0,3 bds,2 ba,"1,749 sqft",0,0,0,4,78,0,46,23,0,10,0,0,0,0,0,POINT (-123.100534 49.240342),Riley Park,3276.0,655.0,229.0,46.0,566.0,113.0,2481.0,496.0
301,3838 W 50th Ave,V6N3V5,49.226212,-123.189398,Vancouver,5135555.0,5 bds,6 ba,"4,098 sqft",0,0,0,1,26,0,3,0,0,1,0,0,0,0,1,POINT (-123.189398 49.226212),Dunbar-Southlands,1840.0,368.0,172.0,34.0,316.0,63.0,1352.0,270.0
302,2437 W 1st Ave #1,V6K1G5,49.271146,-123.160658,Vancouver,1475000.0,2 bds,2 ba,"1,209 sqft",0,0,0,7,51,4,78,33,1,14,0,0,0,0,3,POINT (-123.160658 49.271146),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
303,1368 Minto Cres,V6H2J5,49.242479,-123.136033,Vancouver,11888000.0,8 bds,10 ba,"8,677 sqft",1,0,1,0,66,0,9,12,0,2,0,0,0,0,2,POINT (-123.136033 49.242479),Shaughnessy,1410.0,282.0,89.0,18.0,373.0,75.0,948.0,190.0
304,8645 Osler St #301,V6P4E6,49.207578,-123.1322,Vancouver,419900.0,1 bd,1 ba,584 sqft,0,0,0,1,55,1,34,12,0,15,0,0,0,0,0,POINT (-123.1322 49.207578),Marpole,4012.0,802.0,354.0,71.0,643.0,129.0,3015.0,603.0
305,4085 Puget Dr,V6L2V3,49.250233,-123.171175,Vancouver,6288000.0,6 bds,6 ba,"4,664 sqft",0,0,1,1,41,0,3,1,0,2,0,0,0,0,0,POINT (-123.171175 49.250233),Dunbar-Southlands,1840.0,368.0,172.0,34.0,316.0,63.0,1352.0,270.0
306,2020 E Kent Ave SE #411,V5P4X2,49.206558,-123.065143,Vancouver,925000.0,2 bds,2 ba,"1,061 sqft",0,0,0,0,42,0,0,0,0,1,0,0,0,0,0,POINT (-123.065143 49.206558),Victoria-Fraserview,2680.0,536.0,260.0,52.0,272.0,54.0,2148.0,430.0
307,1616 W 13th Ave #502,V6J2G6,49.259605,-123.141727,Vancouver,888800.0,2 bds,2 ba,"1,049 sqft",0,0,2,5,89,3,81,34,2,13,0,0,0,0,4,POINT (-123.141727 49.259605),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
308,499 Broughton St #1703,V6G3K1,49.29059,-123.127174,Vancouver,1688000.0,2 bds,2 ba,"1,148 sqft",0,3,10,17,109,18,271,123,0,87,0,0,0,0,12,POINT (-123.127174 49.29059),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
309,910 Beach Ave #503,V6Z2W7,49.275321,-123.133399,Vancouver,525000.0,Studio,1 ba,417 sqft,0,1,7,13,100,17,210,91,0,74,0,0,0,0,8,POINT (-123.133399 49.275321),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
310,180 E 2nd Ave #1012,V5T1B5,49.268674,-123.101202,Vancouver,749990.0,1 bd,1 ba,564 sqft,1,3,3,11,119,16,126,49,0,53,0,0,0,0,4,POINT (-123.101202 49.268674),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
311,2671 McBain Ave,V6L2C7,49.247322,-123.164319,Vancouver,5580000.0,7 bds,7 ba,"4,207 sqft",0,0,1,4,56,0,9,3,0,5,0,0,0,0,1,POINT (-123.164319 49.247322),Arbutus Ridge,1417.0,283.0,80.0,16.0,278.0,56.0,1059.0,212.0
312,2658 Morningstar Cres #17,V5S4P4,49.206541,-123.0541,Vancouver,1049000.0,3 bds,2 ba,"1,544 sqft",0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,POINT (-123.0541 49.206541),Killarney,2576.0,515.0,287.0,57.0,306.0,61.0,1983.0,397.0
313,1616 Bayshore Dr #202,V6G3L1,49.291509,-123.13015,Vancouver,1688000.0,2 bds,2 ba,"1,365 sqft",0,1,7,14,81,10,225,90,0,55,0,0,0,0,10,POINT (-123.13015 49.291509),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
