,street address,latitude,longitude,neighbourhood,Income_Class,Crime_Class
110,60 town centre ct #306,43.7734,-79.255862,bendale glen andrew,Low Class,Moderate Crime
111,190 borough dr #302,43.772874,-79.253995,bendale glen andrew,Low Class,Moderate Crime
112,60 brian harrison way #302,43.774024,-79.258007,bendale glen andrew,Low Class,Moderate Crime
113,117 omni dr #15,43.771256,-79.261225,bendale glen andrew,Low Class,Moderate Crime
114,2103 - 60 brian harrison way,43.774024,-79.258007,bendale glen andrew,Low Class,Moderate Crime
115,1028 - 125 omni dr,43.771029,-79.260134,bendale glen andrew,Low Class,Moderate Crime
116,1400 kingston rd #501,43.686959,-79.272431,birchcliffe cliffside,Moderate Class,Moderate Crime
117,141 eastwood ave,43.694987,-79.269234,birchcliffe cliffside,Moderate Class,Moderate Crime
118,42 fishleigh dr,43.700556,-79.248654,birchcliffe cliffside,Moderate Class,Moderate Crime
119,104 natal ave,43.714075,-79.254723,birchcliffe cliffside,Moderate Class,Moderate Crime
120,223 kennedy rd,43.706363,-79.257097,birchcliffe cliffside,Moderate Class,Moderate Crime
121,73 fishleigh dr,43.701371,-79.245529,birchcliffe cliffside,Moderate Class,Moderate Crime
122,28 fishleigh dr,43.700665,-79.250643,birchcliffe cliffside,Moderate Class,Moderate Crime
123,17a s woodrow blvd,43.699423,-79.260028,birchcliffe cliffside,Moderate Class,Moderate Crime
124,271 victoria park ave,43.683316,-79.284726,birchcliffe cliffside,Moderate Class,Moderate Crime
125,14 pinegrove ave,43.698491,-79.263913,birchcliffe cliffside,Moderate Class,Moderate Crime
126,14 kildonan dr,43.687027,-79.266351,birchcliffe cliffside,Moderate Class,Moderate Crime
127,197 s woodrow blvd,43.703661,-79.261775,birchcliffe cliffside,Moderate Class,Moderate Crime
128,74 natal ave,43.712217,-79.253922,birchcliffe cliffside,Moderate Class,Moderate Crime
129,18 haig ave,43.68473,-79.270723,birchcliffe cliffside,Moderate Class,Moderate Crime
130,4737 jane st,43.771431,-79.519798,black creek,Low Class,Moderate Crime
131,4673 jane st #318,43.770357,-79.520128,black creek,Low Class,Moderate Crime
132,353 driftwood ave #2,43.768082,-79.512841,black creek,Low Class,Moderate Crime
133,30 forge dr,43.759536,-79.513985,black creek,Low Class,Moderate Crime
134,4689 jane st #503,43.770863,-79.520254,black creek,Low Class,Moderate Crime
135,353 driftwood ave #7,43.768082,-79.512841,black creek,Low Class,Moderate Crime
136,4645 jane st #720,43.769446,-79.519808,black creek,Low Class,Moderate Crime
137,4645 jane st #818,43.769446,-79.519808,black creek,Low Class,Moderate Crime
138,42 wilmont dr,43.760363,-79.513433,black creek,Low Class,Moderate Crime
139,304 withrow avenue,43.672677,-79.340596,blake jones,Moderate Class,Moderate Crime
140,297 bain avenue,43.67298,-79.341437,blake jones,Moderate Class,Moderate Crime
141,62 schell ave,43.698338,-79.45509,briar hill belgravia,Low Class,Moderate Crime
142,390 hopewell ave #130,43.700641,-79.444449,briar hill belgravia,Low Class,Moderate Crime
143,1171 roselawn ave,43.699345,-79.454393,briar hill belgravia,Low Class,Moderate Crime
144,307 - 1100 briar hill ave,43.703197,-79.45076,briar hill belgravia,Low Class,Moderate Crime
145,278 dawlish ave,43.724134,-79.383185,bridle path sunnybrook york mills,High Class,Moderate Crime
146,32 brookfield rd,43.741523,-79.400732,bridle path sunnybrook york mills,High Class,Moderate Crime
147,85 the bridle path,43.732687,-79.364782,bridle path sunnybrook york mills,High Class,Moderate Crime
148,19 country ln,43.74036,-79.380766,bridle path sunnybrook york mills,High Class,Moderate Crime
149,45 park lane cir,43.730085,-79.369058,bridle path sunnybrook york mills,High Class,Moderate Crime
150,45 bayview rdg,43.741938,-79.387871,bridle path sunnybrook york mills,High Class,Moderate Crime
151,30 high point rd,43.731817,-79.368833,bridle path sunnybrook york mills,High Class,Moderate Crime
152,76 arjay cres,43.739075,-79.384916,bridle path sunnybrook york mills,High Class,Moderate Crime
153,34 green valley rd,43.739774,-79.388924,bridle path sunnybrook york mills,High Class,Moderate Crime
154,82 york rd,43.746179,-79.384607,bridle path sunnybrook york mills,High Class,Moderate Crime
155,2152 bayview ave,43.723305,-79.379711,bridle path sunnybrook york mills,High Class,Moderate Crime
156,5 pembury ave,43.725688,-79.381034,bridle path sunnybrook york mills,High Class,Moderate Crime
157,61 arjay cres,43.73848,-79.383368,bridle path sunnybrook york mills,High Class,Moderate Crime
158,83 bayview rdg,43.740734,-79.385072,bridle path sunnybrook york mills,High Class,Moderate Crime
159,19 hedgewood rd,43.743342,-79.397858,bridle path sunnybrook york mills,High Class,Moderate Crime
160,s319 - 120 bayview ave,43.74281,-79.383272,bridle path sunnybrook york mills,High Class,Moderate Crime
161,195 valley rd,43.743651,-79.38411,bridle path sunnybrook york mills,High Class,Moderate Crime
162,34 plymbridge cres w,43.740554,-79.400357,bridle path sunnybrook york mills,High Class,Moderate Crime
163,604 - 1888 bayview ave,43.717438,-79.379154,bridle path sunnybrook york mills,High Class,Moderate Crime
164,236 browning ave,43.683222,-79.34711,broadview north,Moderate Class,Moderate Crime
165,74 mortimer ave,43.684804,-79.353377,broadview north,Moderate Class,Moderate Crime
166,20 amesbury dr,43.701261,-79.481426,brookhaven amesbury,Low Class,Moderate Crime
167,1 monarchdale ave,43.698966,-79.493874,brookhaven amesbury,Low Class,Moderate Crime
168,129 brookhaven dr,43.70416,-79.495728,brookhaven amesbury,Low Class,Moderate Crime
169,40 homewood ave #2803,43.664229,-79.375535,cabbagetown south st james town,Moderate Class,Moderate Crime
170,415 wellesley st e,43.668911,-79.364947,cabbagetown south st james town,Moderate Class,Moderate Crime
171,274 carlton st,43.664973,-79.366388,cabbagetown south st james town,Moderate Class,Moderate Crime
172,4 bowman st,43.665666,-79.364223,cabbagetown south st james town,Moderate Class,Moderate Crime
173,391 wellesley st e,43.668839,-79.365713,cabbagetown south st james town,Moderate Class,Moderate Crime
174,2310 - 40 homewood ave,43.664229,-79.375535,cabbagetown south st james town,Moderate Class,Moderate Crime
175,115 - 15 la rose ave,43.666151,-79.36993,cabbagetown south st james town,Moderate Class,Moderate Crime
176,9 wellesley ave,43.669741,-79.364874,cabbagetown south st james town,Moderate Class,Moderate Crime
177,56 branstone rd,43.692013,-79.453838,caledonia fairbank,Low Class,Moderate Crime
178,490 caledonia rd,43.689821,-79.461148,caledonia fairbank,Low Class,Moderate Crime
179,1994 dufferin st,43.684965,-79.446149,caledonia fairbank,Low Class,Moderate Crime
180,44 branstone rd,43.691621,-79.453661,caledonia fairbank,Low Class,Moderate Crime
181,369 albany ave #5,43.676334,-79.414275,casa loma,High Class,Moderate Crime
182,70 forest manor rd #3410,43.689144,-79.404683,casa loma,High Class,Moderate Crime
183,31 russell hill rd,43.681167,-79.402842,casa loma,High Class,Moderate Crime
184,100 ardwold gate,43.680418,-79.409322,casa loma,High Class,Moderate Crime
185,17 ardwold gate,43.678881,-79.407258,casa loma,High Class,Moderate Crime
186,200 russell hill rd #502,43.681737,-79.406631,casa loma,High Class,Moderate Crime
187,101 russell hill rd,43.68178,-79.404985,casa loma,High Class,Moderate Crime
188,11 shorncliffe ave,43.68559,-79.410873,casa loma,High Class,Moderate Crime
189,418 davenport rd,43.678098,-79.406458,casa loma,High Class,Moderate Crime
190,2201 - 70 forest manor rd,43.689144,-79.404683,casa loma,High Class,Moderate Crime
191,203 - 195 poplar plains rd,43.682361,-79.402109,casa loma,High Class,Moderate Crime
192,5 - 369 albany avenue,43.676334,-79.414275,casa loma,High Class,Moderate Crime
193,405 - 36 forest manor rd,43.687376,-79.404061,casa loma,High Class,Moderate Crime
194,202 - 32 forest manor rd,43.687987,-79.403437,casa loma,High Class,Moderate Crime
195,1811 - 501 st clair ave w,43.68301,-79.417709,casa loma,High Class,Moderate Crime
196,4 tredvalley grve,43.776477,-79.148234,centennial scarborough,Moderate Class,Moderate Crime
197,435 meadowvale rd,43.78853,-79.161669,centennial scarborough,Moderate Class,Moderate Crime
198,17 chapais cres,43.782877,-79.142635,centennial scarborough,Moderate Class,Moderate Crime
199,3 langevin cres,43.780088,-79.146196,centennial scarborough,Moderate Class,Moderate Crime
200,42 charles st e #2810,43.669355,-79.384182,church wellesley,Moderate Class,Moderate Crime
201,101 charles st e #4202,43.669643,-79.380555,church wellesley,Moderate Class,Moderate Crime
202,403 church st #2413,43.662103,-79.379236,church wellesley,Moderate Class,Moderate Crime
203,85 bloor st e #1709,43.670479,-79.384571,church wellesley,Moderate Class,Moderate Crime
204,1510 - 35 hayden st e,43.66955,-79.384654,church wellesley,Moderate Class,Moderate Crime
205,1401 - 55 charles st e,43.668965,-79.383546,church wellesley,Moderate Class,Moderate Crime
206,1101 - 100 hayden st,43.670504,-79.381661,church wellesley,Moderate Class,Moderate Crime
207,301 - 30 hayden st,43.66987,-79.385006,church wellesley,Moderate Class,Moderate Crime
208,#1008 - 1 bloor st e,43.670123,-79.38623,church wellesley,Moderate Class,Moderate Crime
209,408 - 17 dundonald st,43.665904,-79.383493,church wellesley,Moderate Class,Moderate Crime
210,103 gloucester st,43.667537,-79.379921,church wellesley,Moderate Class,Moderate Crime
211,564 pharmacy ave,43.707103,-79.289985,clairlea birchmount,Low Class,Moderate Crime
212,21 fusilier dr,43.717232,-79.279496,clairlea birchmount,Low Class,Moderate Crime
213,3632a st clair avenue e,43.709125,-79.293489,clairlea birchmount,Low Class,Moderate Crime
214,5 - 40 mendelssohn street w,43.71555,-79.281694,clairlea birchmount,Low Class,Moderate Crime
215,30 fusilier dr,43.717641,-79.279203,clairlea birchmount,Low Class,Moderate Crime
216,861 sheppard ave w #15,43.752102,-79.453675,clanton park,Moderate Class,Moderate Crime
217,897 sheppard ave w #202,43.751649,-79.455201,clanton park,Moderate Class,Moderate Crime
218,2 josephine rd,43.743761,-79.447819,clanton park,Moderate Class,Moderate Crime
219,8 tippett rd #801,43.732384,-79.446637,clanton park,Moderate Class,Moderate Crime
220,608 - 801 sheppard ave w,43.752922,-79.449493,clanton park,Moderate Class,Moderate Crime
221,96 king high ave,43.740725,-79.446355,clanton park,Moderate Class,Moderate Crime
222,801 - 8 tippett road,43.732384,-79.446637,clanton park,Moderate Class,Moderate Crime
223,28 joel swirsky blvd,43.746583,-79.45106,clanton park,Moderate Class,Moderate Crime
224,326 - 38 monte kwinter crt,43.733592,-79.448826,clanton park,Moderate Class,Moderate Crime
225,32 lyme regis cres,43.718741,-79.228161,cliffcrest,Moderate Class,Moderate Crime
226,7 brimley rd s #d78,43.706276,-79.231863,cliffcrest,Moderate Class,Moderate Crime
227,12 gradwell dr,43.71325,-79.235129,cliffcrest,Moderate Class,Moderate Crime
228,186 phyllis ave,43.730854,-79.230523,cliffcrest,Moderate Class,Moderate Crime
229,89 cree ave,43.731936,-79.228243,cliffcrest,Moderate Class,Moderate Crime
230,101 harewood ave,43.722271,-79.234402,cliffcrest,Moderate Class,Moderate Crime
231,1778 dufferin st,43.680272,-79.444278,corso italia davenport,Moderate Class,Moderate Crime
232,237 mcroberts ave,43.681676,-79.455673,corso italia davenport,Moderate Class,Moderate Crime
233,181 earlscourt ave,43.682609,-79.449359,corso italia davenport,Moderate Class,Moderate Crime
234,717 greenwood ave,43.683375,-79.332915,danforth,Moderate Class,Moderate Crime
235,7 woodycrest ave,43.680213,-79.34178,danforth,Moderate Class,Moderate Crime
236,211 woodycrest ave,43.687915,-79.344644,danforth east york,Moderate Class,Moderate Crime
237,6 lankin blvd,43.692293,-79.328633,danforth east york,Moderate Class,Moderate Crime
238,17 lesmount ave,43.690336,-79.339941,danforth east york,Moderate Class,Moderate Crime
239,210 gowan ave,43.689278,-79.345064,danforth east york,Moderate Class,Moderate Crime
240,135 holborne ave,43.69443,-79.318652,danforth east york,Moderate Class,Moderate Crime
241,340 mortimer avenue,43.688028,-79.339301,danforth east york,Moderate Class,Moderate Crime
242,244 gowan avenue,43.689592,-79.343813,danforth east york,Moderate Class,Moderate Crime
243,122 barker ave,43.694213,-79.317341,danforth east york,Moderate Class,Moderate Crime
244,1019 greenwood avenue,43.689464,-79.335576,danforth east york,Moderate Class,Moderate Crime
245,228 donlands avenue,43.688058,-79.340745,danforth east york,Moderate Class,Moderate Crime
246,6 esterbrooke ave #82,43.779624,-79.352763,don valley village,Moderate Class,Moderate Crime
247,100 rusty crestway,43.788441,-79.355423,don valley village,Moderate Class,Moderate Crime
248,301 prudential dr #1701,43.749918,-79.268628,dorset park,Low Class,Moderate Crime
249,1950 kennedy rd #706,43.767632,-79.282853,dorset park,Low Class,Moderate Crime
250,128 shropshire dr,43.758979,-79.281764,dorset park,Low Class,Moderate Crime
251,939 - 18 mondeo dr,43.76543,-79.288231,dorset park,Low Class,Moderate Crime
252,54 flintridge rd,43.744651,-79.279067,dorset park,Low Class,Moderate Crime
253,105 gilroy dr,43.763739,-79.281836,dorset park,Low Class,Moderate Crime
254,321 concord ave,43.662575,-79.426988,dovercourt village,Moderate Class,Moderate Crime
255,990 dovercourt rd,43.666907,-79.431852,dovercourt village,Moderate Class,Moderate Crime
256,73 pendrith st,43.666638,-79.422778,dovercourt village,Moderate Class,Moderate Crime
257,254 salem ave,43.667018,-79.434545,dovercourt village,Moderate Class,Moderate Crime
258,57 shanly st,43.663806,-79.43205,dovercourt village,Moderate Class,Moderate Crime
259,295 downsview park blvd,43.73797,-79.476415,downsview,Low Class,Moderate Crime
260,88 anthony rd,43.729155,-79.466301,downsview,Low Class,Moderate Crime
261,83 anthony rd,43.72897,-79.465612,downsview,Low Class,Moderate Crime
262,2737 keele st #821,43.725799,-79.480604,downsview,Low Class,Moderate Crime
263,2737 keele st #402,43.725799,-79.480604,downsview,Low Class,Moderate Crime
264,70 thomas mulholland dr #8,43.73587,-79.478063,downsview,Low Class,Moderate Crime
265,1004 - 125 george appleton way,43.725725,-79.479422,downsview,Low Class,Moderate Crime
266,48 dubray ave,43.729476,-79.479441,downsview,Low Class,Moderate Crime
267,314 - 60 george butchart dr,43.736561,-79.483201,downsview,Low Class,Moderate Crime
268,3408 - 50 town centre crt,43.740833,-79.489167,downsview,Low Class,Moderate Crime
269,279 reiner rd,43.747795,-79.458169,downsview,Low Class,Moderate Crime
270,3305 - 25 town centre crt,43.74069,-79.486601,downsview,Low Class,Moderate Crime
271,7 carlton st #704,43.661094,-79.38259,downtown yonge east,Moderate Class,Moderate Crime
272,60 colborne st #1608,43.649288,-79.374406,downtown yonge east,Moderate Class,Moderate Crime
273,50 lombard st #1903,43.651856,-79.376003,downtown yonge east,Moderate Class,Moderate Crime
274,220 victoria st #806,43.654877,-79.379218,downtown yonge east,Moderate Class,Moderate Crime
275,8 colborne st #penthouse 2701,43.648745,-79.377021,downtown yonge east,Moderate Class,Moderate Crime
276,65 mutual st #3004,43.655802,-79.374984,downtown yonge east,Moderate Class,Moderate Crime
277,127 queen st e #406,43.653471,-79.373755,downtown yonge east,Moderate Class,Moderate Crime
278,155 dalhousie st #1054,43.657615,-79.376789,downtown yonge east,Moderate Class,Moderate Crime
279,712 - 159 dundas street n,43.657124,-79.375394,downtown yonge east,Moderate Class,Moderate Crime
280,503 - 75 dalhousie st,43.655627,-79.375858,downtown yonge east,Moderate Class,Moderate Crime
281,906 - 47 mutual st,43.654927,-79.374681,downtown yonge east,Moderate Class,Moderate Crime
282,817 - 210 victoria st,43.654648,-79.379127,downtown yonge east,Moderate Class,Moderate Crime
283,2709 - 210 victoria st,43.654648,-79.379127,downtown yonge east,Moderate Class,Moderate Crime
284,1414 - 197 yonge st,43.653337,-79.37937,downtown yonge east,Moderate Class,Moderate Crime
285,1244 college st,43.651641,-79.438166,dufferin grove,Moderate Class,Moderate Crime
286,262 saint helens ave #106,43.656487,-79.443717,dufferin grove,Moderate Class,Moderate Crime
287,50 merchant ln #105,43.656875,-79.445518,dufferin grove,Moderate Class,Moderate Crime
288,279 st. helen's ave s,43.657023,-79.443242,dufferin grove,Moderate Class,Moderate Crime
289,2335 1/2 gerrard st e,43.685302,-79.293178,east end danforth,Moderate Class,Moderate Crime
290,6 newmarket ave,43.689384,-79.307654,east end danforth,Moderate Class,Moderate Crime
291,140 brookside dr,43.680619,-79.306407,east end danforth,Moderate Class,Moderate Crime
292,8 trent ave #1205,43.688207,-79.295862,east end danforth,Moderate Class,Moderate Crime
293,198 lawlor ave,43.685388,-79.290756,east end danforth,Moderate Class,Moderate Crime
294,2053 gerrard st e,43.68208,-79.307469,east end danforth,Moderate Class,Moderate Crime
295,6 balfour ave,43.69059,-79.300945,east end danforth,Moderate Class,Moderate Crime
296,12 waring ct,43.776906,-79.401025,east willowdale,Moderate Class,Moderate Crime
297,80 chiswell cres,43.780901,-79.391894,east willowdale,Moderate Class,Moderate Crime
298,208 holmes ave,43.781146,-79.399927,east willowdale,Moderate Class,Moderate Crime
299,258 byng ave e,43.780324,-79.398837,east willowdale,Moderate Class,Moderate Crime
300,311 holmes avenue,43.782536,-79.392457,east willowdale,Moderate Class,Moderate Crime
301,136 church ave s,43.77592,-79.405591,east willowdale,Moderate Class,Moderate Crime
302,83 norton ave,43.772769,-79.408839,east willowdale,Moderate Class,Moderate Crime
303,ph704 - 399 spring garden ave,43.76867,-79.389623,east willowdale,Moderate Class,Moderate Crime
304,25 finchley rd,43.657715,-79.526342,edenbridge humber valley,Moderate Class,Moderate Crime
305,30 anglesey blvd #g2,43.663784,-79.522679,edenbridge humber valley,Moderate Class,Moderate Crime
306,7 ashley park rd,43.662619,-79.516617,edenbridge humber valley,Moderate Class,Moderate Crime
307,17 strath humber ct,43.661667,-79.515797,edenbridge humber valley,Moderate Class,Moderate Crime
308,15 edenbrook hl,43.671624,-79.524004,edenbridge humber valley,Moderate Class,Moderate Crime
309,43 edenvale cres,43.680741,-79.52895,edenbridge humber valley,Moderate Class,Moderate Crime
310,91 valecrest dr,43.675971,-79.520516,edenbridge humber valley,Moderate Class,Moderate Crime
311,37 pringdale gardens cir,43.742145,-79.24373,eglinton east,Low Class,Moderate Crime
312,1346 danforth rd #901,43.743558,-79.244826,eglinton east,Low Class,Moderate Crime
313,1304 - 330 mccowan rd,43.737512,-79.238359,eglinton east,Low Class,Moderate Crime
314,54-175 trudelle street,43.741138,-79.237028,eglinton east,Low Class,Moderate Crime
