Postal Code,Region,Neighborhood
V9A,Victoria,Vic West / Esquimalt)Canadian Forces (MARPAC
V9B,Victoria,West Highlands / North Langford / View Royal
V9C,Victoria,Colwood / South Langford / Metchosin
V9E,Victoria,East Highlands / NW Saanich
V9G,Ladysmith,
V9H,Campbell River Outskirts,
V9J,Courtenay Northern Outskirts,
V9K,Qualicum Beach,
V9L,Duncan,
V9M,Comox,
V9N,Courtenay Central,
V9P,Parksville,
V9R,Nanaimo South,
V9S,Nanaimo Central,
V9T,Nanaimo,North / Wellington / Northfield / Departure Bay
V9V,Nanaimo Northwest,
V9W,Campbell River Central,
V9X,Nanaimo,Cedar
V9Y,Port Alberni,
V9Z,Sooke,
