Street address,City,State,Zip/Postal Code,Country,Latitude,Longitude,Postal Code
583 Beach Cres #3006, Vancouver,BC,V6Z3E6,Canada,49.273589,-123.129221,V6Z
2768 E 25th Ave, Vancouver,BC,V5R1H7,Canada,49.247673,-123.047995,V5R
845 W 67th Ave, Vancouver,BC,V6P2S5,Canada,49.210871,-123.125486,V6P
3290 Cypress St, Vancouver,BC,V6J3N6,Canada,49.256513,-123.148065,V6J
885 Cambie St #2103, Vancouver,BC,V6B0R6,Canada,49.277518,-123.116547,V6B
4900 Cartier St #306, Vancouver,BC,V6M4H2,Canada,49.240721,-123.136482,V6M
1415 Walnut St, Vancouver,BC,V6J3R2,Canada,49.273246,-123.149335,V6J
4818 Knight St, Vancouver,BC,V5N3N4,Canada,49.241341,-123.075952,V5N
1350 W 6th Ave #17, Vancouver,BC,V6H1A7,Canada,49.265879,-123.135055,V6H
1422 Parker St, Vancouver,BC,V5L2K1,Canada,49.275574,-123.075255,V5L
3363 W 19th Ave, Vancouver,BC,V6S1C1,Canada,49.25581,-123.179967,V6S
128 Cordova St W #303, Vancouver,BC,V6B0E6,Canada,49.282525,-123.107958,V6B
1077 Marinaside Cres #1106, Vancouver,BC,V6Z2Z5,Canada,49.273637,-123.116652,V6Z
3987 Rupert St, Vancouver,BC,V5R2G9,Canada,49.248973,-123.034214,V5R
1251 Cardero St #2001, Vancouver,BC,V6G2H9,Canada,49.284994,-123.139881,V6G
2737 Oxford St, Vancouver,BC,V5L1E8,Canada,49.285419,-123.04837,V5L
1238 Melville St #1205, Vancouver,BC,V6E4N2,Canada,49.288222,-123.125361,V6E
3449 E 4th Ave, Vancouver,BC,V5M1M1,Canada,49.266885,-123.029764,V5M
1159 Main St #406, Vancouver,BC,V6A4B6,Canada,49.274261,-123.100494,V6A
2731 Duke St, Vancouver,BC,V5R4S8,Canada,49.239163,-123.049351,V5R
231 E Pender St #209, Vancouver,BC,V6A0G3,Canada,49.280617,-123.098724,V6A
1331 Homer St #B1201, Vancouver,BC,V6B5M5,Canada,49.273879,-123.126066,V6B
4101 Yew St #304, Vancouver,BC,V6L3B7,Canada,49.248583,-123.155246,V6L
3609 Turner St, Vancouver,BC,V5K2J2,Canada,49.27936,-123.025311,V5K
1205 W 7th Ave, Vancouver,BC,V6H1B7,Canada,49.265,-123.131574,V6H
2550 Garden Dr #605, Vancouver,BC,V5N4X6,Canada,49.261596,-123.057753,V5N
1667 W 40th Ave, Vancouver,BC,V6M1W1,Canada,49.236008,-123.143513,V6M
2025 W 2nd Ave #201, Vancouver,BC,V6J1J6,Canada,49.270112,-123.151099,V6J
1330 Harwood St #1202, Vancouver,BC,V6E1S8,Canada,49.281647,-123.138072,V6E
3070 W 44th Ave, Vancouver,BC,V6N3K6,Canada,49.231635,-123.174173,V6N
1372 Seymour St UNIT 2101, Vancouver,BC,V6B0L1,Canada,49.27459,-123.127563,V6B
289 E 6th Ave #512, Vancouver,BC,V5T0E9,Canada,49.265741,-123.099417,V5T
1281 Cordova St W #3402, Vancouver,BC,V6C3R5,Canada,49.290102,-123.123203,V6C
455 SW Marine Dr #2006, Vancouver,BC,V5X2S9,Canada,49.211163,-123.115988,V5X
1188 Quebec St #402, Vancouver,BC,V6A4B3,Canada,49.27411,-123.101233,V6A
1500 Howe St #2201, Vancouver,BC,V6Z2N1,Canada,49.274171,-123.132003,V6Z
4930 Dunbar St, Vancouver,BC,V6N1V3,Canada,49.241926,-123.184888,V6N
950 W 17th Ave, Vancouver,BC,V5Z1V4,Canada,49.255966,-123.126198,V5Z
2550 Garden Dr #414, Vancouver,BC,V5N4X6,Canada,49.261596,-123.057753,V5N
1328 W Pender St #2201, Vancouver,BC,V6E4S9,Canada,49.289067,-123.126664,V6E
1788 Georgia St W #601, Vancouver,BC,V6G2V7,Canada,49.292156,-123.133845,V6G
360 E 36th Ave #213, Vancouver,BC,V5W4B9,Canada,49.237636,-123.098596,V5W
460 W 16th Ave #12, Vancouver,BC,V5Y1Z3,Canada,49.256561,-123.114012,V5Y
3803 W 26th Ave, Vancouver,BC,V6S1P3,Canada,49.249287,-123.18835,V6S
1415 Georgia St W #2203, Vancouver,BC,V6G3C8,Canada,49.289455,-123.128288,V6G
1311 Beach Ave #1802, Vancouver,BC,V6E1V6,Canada,49.281167,-123.13834,V6E
108 Cordova St W #1401, Vancouver,BC,V6B0G5,Canada,49.282616,-123.107958,V6B
3615 Yale St, Vancouver,BC,V5K1B8,Canada,49.290383,-123.025333,V5K
1333 Georgia St W #809, Vancouver,BC,V6E4V3,Canada,49.28899,-123.127532,V6E
209 E 20th Ave #103, Vancouver,BC,V5V1M2,Canada,49.253226,-123.100429,V5V
3731 W 6th Ave #203, Vancouver,BC,V6R1T8,Canada,49.26716,-123.18637,V6R
811 Helmcken St #1903, Vancouver,BC,V6Z1B1,Canada,49.279247,-123.125531,V6Z
1618 Grant St, Vancouver,BC,V5L2Y5,Canada,49.271659,-123.071011,V5L
2272 Dundas St #105, Vancouver,BC,V5L1J8,Canada,49.284558,-123.058355,V5L
5788 Vine St #206, Vancouver,BC,V6M4L8,Canada,49.233908,-123.159569,V6M
1128 Quebec St #604, Vancouver,BC,V6A4E1,Canada,49.274651,-123.101142,V6A
3240 Napier St, Vancouver,BC,V5K2X1,Canada,49.274717,-123.035049,V5K
555 Jervis St #2204, Vancouver,BC,V6E4N1,Canada,49.288547,-123.125844,V6E
3908 W 17th Ave, Vancouver,BC,V6S1A5,Canada,49.257166,-123.191147,V6S
2765 W 15th Ave, Vancouver,BC,V6K2Z7,Canada,49.258911,-123.167736,V6K
1133 Hornby St #809, Vancouver,BC,V6Z1W1,Canada,49.279263,-123.127457,V6Z
4990 McGeer St #315, Vancouver,BC,V5R6C1,Canada,49.239521,-123.032816,V5R
1345 Comox St #204, Vancouver,BC,V6E4E4,Canada,49.284133,-123.132141,V6E
937 W 18th Ave, Vancouver,BC,V5Z1W4,Canada,49.255551,-123.125406,V5Z
616 E 10th Ave, Vancouver,BC,V5T2A5,Canada,49.261269,-123.090603,V5T
2699 Duke St, Vancouver,BC,V5R4S8,Canada,49.239447,-123.050058,V5R
3457 Oxford St, Vancouver,BC,V5K1N8,Canada,49.285941,-123.029585,V5K
110 Switchmen St #1707, Vancouver,BC,V6A0C6,Canada,49.270809,-123.101516,V6A
2057 W 3rd Ave #PENTHOUSE 3, Vancouver,BC,V6J1L4,Canada,49.26924,-123.151753,V6J
1869 Spyglass Pl #213, Vancouver,BC,V5Z4K7,Canada,49.268648,-123.115807,V5Z
474 E 43rd Ave #204, Vancouver,BC,V5W1T4,Canada,49.230805,-123.094791,V5W
438 Seymour St #1708, Vancouver,BC,V6B6H4,Canada,49.284416,-123.113932,V6B
2556 W 20th Ave, Vancouver,BC,V6L1G8,Canada,49.254284,-123.163295,V6L
66 Cordova St W #1108, Vancouver,BC,V6B0L2,Canada,49.282561,-123.106278,V6B
874 W 6th Ave #201, Vancouver,BC,V5Z1A6,Canada,49.265695,-123.123456,V5Z
3126 E 17th Ave, Vancouver,BC,V5M2N7,Canada,49.254518,-123.038276,V5M
1596 W 14th Ave #1B, Vancouver,BC,V6J2H9,Canada,49.258663,-123.140522,V6J
4166 Crown Cres, Vancouver,BC,V6R2A9,Canada,49.2643,-123.198901,V6R
1155 Seymour St PENTHOUSE 2703, Vancouver,BC,V6B1K2,Canada,49.277451,-123.124318,V6B
3538 W 30th Ave, Vancouver,BC,V6S1W5,Canada,49.244942,-123.183169,V6S
2229 Oak St, Vancouver,BC,V6H3W6,Canada,49.265755,-123.127872,V6H
2638 W 22nd Ave, Vancouver,BC,V6L1M2,Canada,49.252494,-123.16415,V6L
1550 Coal Harbour Cay #L302, Vancouver,BC,V6G3G1,Canada,49.291479,-123.128047,V6G
3516 Georgia St E, Vancouver,BC,V5K2L8,Canada,49.278004,-123.027789,V5K
2693 Duke St, Vancouver,BC,V5R4S8,Canada,49.239447,-123.050058,V5R
1987 W 35th Ave, Vancouver,BC,V6M1H8,Canada,49.240294,-123.151083,V6M
1219 E 29th Ave, Vancouver,BC,V5V2T1,Canada,49.24482,-123.079651,V5V
717 Jervis St #3101, Vancouver,BC,V6E4L5,Canada,49.287872,-123.12823,V6E
33 Smithe St #802, Vancouver,BC,V6B0B5,Canada,49.274436,-123.11196,V6B
2636 McGill St, Vancouver,BC,V5K1H3,Canada,49.288372,-123.05073,V5K
1283 Howe St #2009, Vancouver,BC,V6Z0E3,Canada,49.277218,-123.128625,V6Z
1196 W 48th Ave, Vancouver,BC,V6M2N7,Canada,49.227388,-123.133219,V6M
1492 Hornby St, Vancouver,BC,V6Z1X3,Canada,49.275736,-123.131665,V6Z
788 Richards St #1108, Vancouver,BC,V6B0C7,Canada,49.280305,-123.117196,V6B
3221 Grant St, Vancouver,BC,V5K3J1,Canada,49.271608,-123.035912,V5K
1180 Broughton St #1302, Vancouver,BC,V6G2B1,Canada,49.283567,-123.135527,V6G
1210 W 8th Ave #207, Vancouver,BC,V6H3Y9,Canada,49.264145,-123.132201,V6H
1165 Burnaby St #402, Vancouver,BC,V6E1P3,Canada,49.280878,-123.133641,V6E
7638 Cambie St #103, Vancouver,BC,V6P3H7,Canada,49.215572,-123.116344,V6P
250 E 6th Ave #451, Vancouver,BC,V5T0B7,Canada,49.265226,-123.100379,V5T
1408 Robson St #2901, Vancouver,BC,V6G1B9,Canada,49.28808,-123.13083,V6G
128 Cordova St W #706, Vancouver,BC,V6B0E6,Canada,49.282525,-123.107958,V6B
4578 Puget Dr, Vancouver,BC,V6L2V8,Canada,49.246025,-123.164932,V6L
2549 E 16th Ave, Vancouver,BC,V5M2L5,Canada,49.25597,-123.054291,V5M
3661 E 27th Ave, Vancouver,BC,V5R1R3,Canada,49.246432,-123.024918,V5R
161 Georgia St W #110, Vancouver,BC,V6B0K9,Canada,49.278805,-123.111556,V6B
939 Homer St #3401, Vancouver,BC,V6B2W6,Canada,49.278115,-123.119485,V6B
1717 W 13th Ave #115, Vancouver,BC,V6J2H2,Canada,49.260182,-123.144071,V6J
3668 W 28th Ave, Vancouver,BC,V6S1S4,Canada,49.246845,-123.186095,V6S
198 E 44th Ave, Vancouver,BC,V5W1V6,Canada,49.230136,-123.1019,V5W
6384 Windsor St, Vancouver,BC,V5W3J5,Canada,49.226523,-123.084808,V5W
2550 Garden Dr #203, Vancouver,BC,V5N4X6,Canada,49.261596,-123.057753,V5N
55 Cordova St E #315, Vancouver,BC,V6A0A5,Canada,49.282595,-123.102962,V6A
2848 W 17th Ave, Vancouver,BC,V6L1A2,Canada,49.256876,-123.168867,V6L
352 W 62nd Ave, Vancouver,BC,V5X2E3,Canada,49.214071,-123.099064,V5X
2632 Nanaimo St, Vancouver,BC,V5N5E7,Canada,49.260614,-123.056207,V5N
1189 Melville St #2104, Vancouver,BC,V6E4T8,Canada,49.287784,-123.123458,V6E
6010 Granville St, Vancouver,BC,V6M3E1,Canada,49.231439,-123.139215,V6M
477 W 59th Ave #202, Vancouver,BC,V5X1X4,Canada,49.217183,-123.115644,V5X
195 W 12th Ave, Vancouver,BC,V5Y1T6,Canada,49.260583,-123.109316,V5Y
2068 E 49th Ave, Vancouver,BC,V5P1T7,Canada,49.22485,-123.064401,V5P
277 Thurlow St #2601, Vancouver,BC,V6C0C1,Canada,49.288884,-123.11914,V6C
5595 Dumfries St, Vancouver,BC,V5P3A5,Canada,49.233783,-123.074635,V5P
603 E 57th Ave, Vancouver,BC,V5X1T1,Canada,49.218537,-123.092892,V5X
1817 W 15th Ave, Vancouver,BC,V6J2K9,Canada,49.258381,-123.146445,V6J
2025 Stephens St #201, Vancouver,BC,V6K3W2,Canada,49.268069,-123.16671,V6K
2172 Wall St, Vancouver,BC,V5L1B5,Canada,49.287898,-123.060013,V5L
3220 W 4th Ave #303, Vancouver,BC,V6K1R9,Canada,49.268211,-123.176302,V6K
3256 W 21st Ave, Vancouver,BC,V6L1L2,Canada,49.253472,-123.177205,V6L
1958 E 47th Ave #406, Vancouver,BC,V5P3X5,Canada,49.227335,-123.066077,V5P
2556 Hastings St E #L01, Vancouver,BC,V5K1Z3,Canada,49.280884,-123.053231,V5K
2282 E 8th Ave #3, Vancouver,BC,V5N1V5,Canada,49.262927,-123.05849,V5N
7303 Granville St, Vancouver,BC,V6P4Y3,Canada,49.218971,-123.139713,V6P
128 Cordova St W #4004, Vancouver,BC,V6B0E6,Canada,49.282525,-123.107958,V6B
4393 Puget Dr, Vancouver,BC,V6L2V7,Canada,49.246957,-123.167479,V6L
710 Chilco St #303, Vancouver,BC,V6G2P9,Canada,49.293438,-123.137924,V6G
1468 W 14th Ave #703, Vancouver,BC,V6H0A2,Canada,49.258615,-123.137357,V6H
1048 E 7th Ave #3A, Vancouver,BC,V5T1P7,Canada,49.264003,-123.082144,V5T
33 W Pender St #504, Vancouver,BC,V6B0E5,Canada,49.281126,-123.106294,V6B
756 W 22nd Ave, Vancouver,BC,V5Z1Z7,Canada,49.251345,-123.121503,V5Z
4573 Slocan St #201, Vancouver,BC,V5R1Z8,Canada,49.243776,-123.050776,V5R
3982 W 35th Ave, Vancouver,BC,V6N2P2,Canada,49.240226,-123.193184,V6N
1633 W 8th Ave #506, Vancouver,BC,V6J5H7,Canada,49.264789,-123.141695,V6J
239 W 16th Ave, Vancouver,BC,V5Y1Y8,Canada,49.257072,-123.110548,V5Y
1510 W 33rd Ave, Vancouver,BC,V6M1A7,Canada,49.241565,-123.139727,V6M
3018 Knight St, Vancouver,BC,V5N3K4,Canada,49.257463,-123.075921,V5N
730 Hawks Ave, Vancouver,BC,V6A3J3,Canada,49.277678,-123.08707,V6A
638 W 17th Ave, Vancouver,BC,V5Z1T8,Canada,49.255812,-123.118959,V5Z
3491 E Pender St, Vancouver,BC,V5K2C9,Canada,49.280492,-123.028763,V5K
885 Cambie St #2104, Vancouver,BC,V6B0R6,Canada,49.277518,-123.116547,V6B
1502 Island Park Walk #301, Vancouver,BC,V6H3Z8,Canada,49.270581,-123.139126,V6H
1508 W 61st Ave, Vancouver,BC,V5P2J4,Canada,49.214369,-123.075481,V5P
1068 W 15th Ave, Vancouver,BC,V6H1R6,Canada,49.257605,-123.128894,V6H
2618 W 15th Ave, Vancouver,BC,V6K2Z5,Canada,49.258348,-123.165387,V6K
1534 Harwood St #702, Vancouver,BC,V6G1X9,Canada,49.283224,-123.1405,V6G
1369 E 24th Ave, Vancouver,BC,V5V1Z4,Canada,49.249252,-123.07696,V5V
1777 Bayshore Dr #1101, Vancouver,BC,V6G3H2,Canada,49.292959,-123.132023,V6G
4815 Eldorado Mews #2401, Vancouver,BC,V5R0B2,Canada,49.241221,-123.057581,V5R
431 Heatley Ave, Vancouver,BC,V6A3G6,Canada,49.280531,-123.089821,V6A
7418 Paulson St #903, Vancouver,BC,V6P0K2,Canada,49.217659,-123.119322,V6P
49 Cordova St E, Vancouver,BC,V6A1K3,Canada,49.282152,-123.103059,V6A
1450 W 6th Ave #307, Vancouver,BC,V6H4H9,Canada,49.265704,-123.137742,V6H
3707 Hudson St, Vancouver,BC,V6H3A6,Canada,49.252101,-123.134899,V6H
1188 Richards St #402, Vancouver,BC,V6B3E6,Canada,49.27599,-123.123515,V6B
2275 W 40th Ave #204, Vancouver,BC,V6M1W7,Canada,49.235845,-123.159524,V6M
45 W 15th Ave, Vancouver,BC,V5Y1X7,Canada,49.257827,-123.106234,V5Y
1188 Howe St #607, Vancouver,BC,V6Z2S8,Canada,49.278315,-123.12697,V6Z
371 E 16th Ave, Vancouver,BC,V5T2T7,Canada,49.256801,-123.096832,V5T
1501 Atlas Ln, Vancouver,BC,V6P0C9,Canada,49.220484,-123.141817,V6P
1735 W 16th Ave, Vancouver,BC,V6J2L9,Canada,49.25741,-123.144543,V6J
356 W 15th Ave #2, Vancouver,BC,V5Y1Y2,Canada,49.2575,-123.112465,V5Y
8131 Nunavut Ln #2502, Vancouver,BC,V5X0E2,Canada,49.211335,-123.116532,V5X
4615 W 4th Ave, Vancouver,BC,V6R1R6,Canada,49.269314,-123.212434,V6R
1383 W 32nd Ave, Vancouver,BC,V6H2J4,Canada,49.244418,-123.136819,V6H
6511 Chambord Pl #40, Vancouver,BC,V5S4P2,Canada,49.223979,-123.025559,V5S
2550 Garden Dr #302, Vancouver,BC,V5N4X6,Canada,49.261596,-123.057753,V5N
3225 Clark Dr, Vancouver,BC,V5V4Y1,Canada,49.255906,-123.078186,V5V
3835 Selkirk St, Vancouver,BC,V6H2Z1,Canada,49.251221,-123.132307,V6H
1111 Richards St #2705, Vancouver,BC,V6B0S3,Canada,49.277007,-123.123204,V6B
8283 Heather St, Vancouver,BC,V6P6S8,Canada,49.210851,-123.124327,V6P
1375 Graveley St, Vancouver,BC,V5L3A1,Canada,49.270826,-123.075628,V5L
557 Rupert St, Vancouver,BC,V5K4K6,Canada,49.279434,-123.034049,V5K
1239 Georgia St W #2803, Vancouver,BC,V6E4R8,Canada,49.287732,-123.125626,V6E
5755 Angus Dr, Vancouver,BC,V6M3N7,Canada,49.234042,-123.148231,V6M
1419 E 27th Ave, Vancouver,BC,V5N2W6,Canada,49.246654,-123.075422,V5N
2275 E Pender St, Vancouver,BC,V5L1X5,Canada,49.280518,-123.058328,V5L
2888 Cambie St #702, Vancouver,BC,V5Z0H3,Canada,49.259754,-123.114732,V5Z
2277 E 30th Ave #309, Vancouver,BC,V5N5N1,Canada,49.24154,-123.059303,V5N
8488 Cornish St #619, Vancouver,BC,V6P0C2,Canada,49.208889,-123.141934,V6P
4455 W 1st Ave, Vancouver,BC,V6R4H9,Canada,49.272334,-123.207492,V6R
2210 Willow St, Vancouver,BC,V5Z0C8,Canada,49.288756,-123.060169,V5Z
3061 E Kent Ave N #1205, Vancouver,BC,V5S2L7,Canada,49.207247,-123.044585,V5S
1000 Beach Ave #704, Vancouver,BC,V6E4M2,Canada,49.275624,-123.134213,V6E
2190 W 7th Ave #111, Vancouver,BC,V6K4K7,Canada,49.265347,-123.154679,V6K
1283 Howe St #3208, Vancouver,BC,V6Z0E3,Canada,49.277218,-123.128625,V6Z
1499 W Pender St #1303, Vancouver,BC,V6G2S3,Canada,49.289964,-123.128049,V6G
