Street address,Neighbourhood,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
53 Hazelton Ave,annex,43.672448,-79.393529,6880000,3 bds,4 ba,,0,1,1,1,17,0,32,10,0,8,0,0,0,0,0,0,4,61,7,72,9,85,46,0,48,0,0,0,0,2,1,8,145,12,128,17,145,83,0,96,0,0,0,0,2,POINT (-79.393529 43.672448),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
535 Brunswick Ave,annex,43.673818,-79.410137,1729000,6 bds,3 ba,,0,1,3,1,15,0,11,5,0,6,0,0,0,0,0,0,3,11,3,47,4,60,13,0,21,0,0,0,0,1,0,6,39,7,122,9,127,41,0,49,0,0,0,0,1,POINT (-79.410137 43.673818),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
50 Yorkville Ave #4403,annex,43.671667,-79.389667,9975000,2 bds,3 ba,,0,2,5,5,21,1,52,26,0,28,0,0,0,0,0,0,4,43,10,71,12,109,59,0,63,0,0,0,0,2,3,9,127,15,131,20,164,97,0,129,0,0,0,0,2,POINT (-79.389667 43.671667),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
104 Albany Ave,annex,43.668716,-79.411569,2790000,5 bds,4 ba,,0,1,6,1,9,1,32,6,0,12,0,0,0,0,1,0,4,12,5,54,5,101,32,0,35,0,0,0,0,1,0,5,52,8,99,12,162,53,0,45,0,0,0,0,2,POINT (-79.411569 43.668716),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
160 Howland Ave,annex,43.670989,-79.411014,2999999,4 bds,4 ba,,0,0,3,0,12,0,14,2,0,1,0,0,0,0,0,0,3,12,5,49,5,81,25,0,29,0,0,0,0,1,0,5,46,8,102,8,129,43,0,44,0,0,0,0,1,POINT (-79.411014 43.670989),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
483 Dupont St #103,annex,43.672797,-79.415295,849900,0bds,1ba,,0,0,0,0,17,0,13,2,0,1,0,0,0,0,0,0,2,8,5,52,0,48,22,0,18,0,0,0,0,0,0,5,18,7,106,9,126,45,0,47,0,0,0,0,2,POINT (-79.415295 43.672797),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
200 Cumberland St #3802,annex,43.669867,-79.394244,17800000,3 bds,4 ba,,0,2,14,1,18,2,29,15,0,9,0,0,0,0,0,0,4,90,7,72,9,85,49,0,46,0,0,0,0,2,8,8,155,12,126,19,173,104,0,116,0,0,0,0,3,POINT (-79.394244 43.669867),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
225 Christie St,annex,43.669398,-79.420453,1988000,4 bds,4 ba,,0,0,1,1,8,0,3,1,0,1,0,0,0,0,0,0,1,5,3,49,5,66,25,0,12,0,0,0,0,1,0,3,16,6,119,9,131,48,0,36,0,0,0,0,4,POINT (-79.420453 43.669398),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
50 Yorkville Ave #5202,annex,43.671667,-79.389667,18800000,4 bds,4 ba,,0,2,5,5,21,1,52,26,0,28,0,0,0,0,0,0,4,43,10,71,12,109,59,0,63,0,0,0,0,2,3,9,127,15,131,20,164,97,0,129,0,0,0,0,2,POINT (-79.389667 43.671667),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
12 Madison Ave,annex,43.667759,-79.403321,5450000,11 bds,3 ba,,0,1,19,1,10,4,17,4,0,9,0,0,0,0,0,0,4,77,4,61,10,79,25,0,37,0,0,0,0,1,2,6,141,9,103,16,226,86,0,76,0,0,0,0,4,POINT (-79.403321 43.667759),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
91 Bedford Rd,annex,43.671488,-79.398264,7888000,5 bds,5 ba,,0,1,7,1,25,2,15,5,0,5,0,0,0,0,0,0,4,63,3,62,7,47,29,0,23,0,0,0,0,0,2,7,152,11,117,17,166,80,0,84,0,0,0,0,4,POINT (-79.398264 43.671488),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
68 Yorkville Ave #304,annex,43.671482,-79.390514,3750000,2 bds,3 ba,"2,490 sqft",0,1,8,4,23,1,43,26,0,26,0,0,0,0,0,0,5,47,9,76,11,111,58,0,63,0,0,0,0,2,4,8,138,16,126,21,164,97,0,129,0,0,0,0,2,POINT (-79.390514 43.671482),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
77 McMurrich St #308,annex,43.674812,-79.39012,1295000,3 bds,2 ba,,0,0,1,0,18,2,30,11,0,13,0,0,0,0,0,0,4,24,9,52,9,99,44,0,50,0,0,0,0,2,2,6,82,12,125,15,144,73,0,93,0,0,0,0,4,POINT (-79.39012 43.674812),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
128 Hazelton Ave #801,annex,43.674903,-79.39488,8325000,3 bds,4 ba,,0,0,1,1,14,0,7,2,0,1,0,0,0,0,0,0,4,25,3,59,5,69,33,0,30,0,0,0,0,0,0,8,103,13,130,15,135,76,1,84,0,0,0,0,4,POINT (-79.39488 43.674903),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
411 - 188 Cumberland St,annex,43.669828,-79.394109,689000,1,1,,0,2,14,1,20,2,28,15,0,9,0,0,0,0,0,0,4,90,7,72,9,89,50,0,47,0,0,0,0,2,8,8,155,12,125,21,175,104,0,115,0,0,0,0,3,POINT (-79.394109 43.669828),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
604 - 188 Cumberland St,annex,43.669828,-79.394109,1200000,3,2,,0,2,14,1,20,2,28,15,0,9,0,0,0,0,0,0,4,90,7,72,9,89,50,0,47,0,0,0,0,2,8,8,155,12,125,21,175,104,0,115,0,0,0,0,3,POINT (-79.394109 43.669828),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
818 - 1 Bedford Rd,annex,43.668551,-79.397124,878000,2,1,,0,2,31,2,22,4,14,9,0,7,0,0,0,0,0,0,4,120,2,65,7,57,41,0,39,0,0,0,0,0,7,7,158,15,122,22,237,111,0,114,0,0,0,0,6,POINT (-79.397124 43.668551),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
1918 - 155 Yorkville Ave,annex,43.670312,-79.394299,959000,2,2,,0,2,13,1,18,2,29,14,0,8,0,0,0,0,0,0,4,86,7,72,8,82,47,0,44,0,0,0,0,2,8,9,154,13,125,19,170,101,0,112,0,0,0,0,3,POINT (-79.394299 43.670312),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
2402 - 10 Bellair St,annex,43.669886,-79.390982,9888000,3,3,,0,2,23,4,21,3,42,24,0,26,0,0,0,0,1,1,5,62,10,75,11,107,63,0,70,0,0,0,0,2,8,8,157,18,133,23,177,119,0,141,0,0,0,0,3,POINT (-79.390982 43.669886),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
51 Harrison Garden Blvd #707,avondale,43.756666,-79.407784,498800,2 bds,2 ba,,0,0,0,1,8,0,6,2,0,5,0,0,0,0,0,0,1,0,5,37,0,18,9,0,27,0,0,0,0,0,0,3,3,8,77,0,33,18,0,40,0,0,0,0,1,POINT (-79.407784 43.756666),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
120 Harrison Garden Blvd #2003,avondale,43.757733,-79.403149,788000,2 bds,2 ba,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,5,39,0,16,9,0,18,0,0,0,0,0,0,1,3,7,80,0,32,13,0,37,0,0,0,0,1,POINT (-79.403149 43.757733),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
100 Harrison Garden Blvd #L02,avondale,43.756982,-79.4044,599900,1 bd,1 ba,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,5,40,0,17,10,0,26,0,0,0,0,0,0,2,3,7,86,0,32,14,0,38,0,0,0,0,1,POINT (-79.4044 43.756982),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
78 Harrison Garden Blvd #2305,avondale,43.756049,-79.407113,978000,3 bds,3 ba,,0,0,0,1,11,0,4,1,0,2,0,0,0,0,0,0,1,0,5,39,0,18,9,0,25,0,0,0,0,0,0,2,3,7,77,0,31,14,0,36,0,0,0,0,1,POINT (-79.407113 43.756049),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
3 Everson Dr #637,avondale,43.756938,-79.406496,659000,3 bds,2 ba,,0,0,0,1,9,0,4,1,0,2,0,0,0,0,0,0,1,0,5,37,0,16,9,0,25,0,0,0,0,0,0,3,3,8,78,0,33,16,0,39,0,0,0,0,1,POINT (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
33 Sheppard Ave E #1800,avondale,43.761229,-79.408934,575000,1 bd,1 ba,,0,1,0,5,19,0,18,9,0,25,0,0,0,0,0,0,2,2,7,35,0,24,14,0,33,0,0,0,0,1,0,2,5,8,68,0,47,19,1,39,0,0,0,0,1,POINT (-79.408934 43.761229),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
3 Everson Dr #528,avondale,43.756938,-79.406496,559000,1 bd,1 ba,,0,0,0,1,9,0,4,1,0,2,0,0,0,0,0,0,1,0,5,37,0,16,9,0,25,0,0,0,0,0,0,3,3,8,78,0,33,16,0,39,0,0,0,0,1,POINT (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
511 - 3 Everson Dr,avondale,43.756938,-79.406496,729000,3,2,,0,0,0,1,9,0,4,1,0,2,0,0,0,0,0,0,1,0,5,37,0,16,9,0,25,0,0,0,0,0,0,3,3,8,78,0,33,16,0,39,0,0,0,0,1,POINT (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
1803 - 100 Harrison Garden Blvd,avondale,43.756982,-79.4044,799000,3,2,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,5,40,0,17,10,0,26,0,0,0,0,0,0,2,3,7,86,0,32,14,0,38,0,0,0,0,1,POINT (-79.4044 43.756982),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
227 Glendora Ave,avondale,43.762254,-79.394945,1499000,4,2,,0,0,0,1,3,0,4,0,0,3,0,0,0,0,0,0,1,3,1,35,0,9,1,0,4,0,0,0,0,0,0,1,5,2,73,0,11,5,0,8,0,0,0,0,0,POINT (-79.394945 43.762254),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
637 - 3 Everson Dr,avondale,43.756938,-79.406496,649900,3,2,,0,0,0,1,9,0,4,1,0,2,0,0,0,0,0,0,1,0,5,37,0,16,9,0,25,0,0,0,0,0,0,3,3,8,78,0,33,16,0,39,0,0,0,0,1,POINT (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
160 The Donway W #403,banbury-don mills,43.73383,-79.34844,424900,2 bds,1 ba,,0,0,1,1,14,1,8,3,0,4,0,0,0,0,1,0,0,4,2,52,1,11,7,0,8,0,0,0,0,1,0,0,6,3,74,1,20,7,0,8,0,0,0,0,1,POINT (-79.34844 43.73383),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
34 Greengate Rd,banbury-don mills,43.739958,-79.364228,7785000,7 bds,7 ba,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,5,0,42,0,1,1,0,0,0,0,0,0,0,POINT (-79.364228 43.739958),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
20 Moccasin Trl,banbury-don mills,43.731688,-79.339069,1498800,4bds,3ba,,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,3,37,1,16,6,0,7,0,0,0,0,0,0,0,5,3,70,1,18,7,0,9,0,0,0,0,1,POINT (-79.339069 43.731688),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
9 Overton Pl,banbury-don mills,43.741095,-79.345984,1850000,4 bds,4 ba,,0,0,2,0,11,0,1,0,0,0,0,0,0,0,0,0,0,4,2,38,1,15,6,0,13,0,0,0,0,1,0,0,11,3,66,1,16,7,0,13,0,0,0,0,1,POINT (-79.345984 43.741095),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
7 Merredin Pl,banbury-don mills,43.748513,-79.35726,3880000,6 bds,6 ba,,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,20,1,14,5,0,13,0,0,0,0,2,0,0,7,2,58,2,27,6,0,20,0,0,0,0,2,POINT (-79.35726 43.748513),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
75 The Donway W #805,banbury-don mills,43.732752,-79.345652,499000,0,1 ba,,0,0,1,2,15,1,11,6,0,8,0,0,0,0,1,0,0,5,3,45,1,16,6,0,8,0,0,0,0,1,0,0,6,3,70,1,20,7,0,8,0,0,0,0,1,POINT (-79.345652 43.732752),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
97 Post Rd,banbury-don mills,43.738724,-79.367822,8888000,7 bds,10 ba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,35,0,1,1,0,0,0,0,0,0,0,POINT (-79.367822 43.738724),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
3007 - 181 Wynford Dr,banbury-don mills,43.725064,-79.328704,759900,3,2,,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,2,1,0,1,0,0,0,0,0,0,0,3,1,64,0,8,1,0,4,0,0,0,0,1,POINT (-79.328704 43.725064),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
504 - 1103 Leslie Street,banbury-don mills,43.720267,-79.347933,795000,3,2,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,3,0,0,0,0,0,0,0,0,0,0,1,1,61,0,10,1,0,3,0,0,0,0,0,POINT (-79.347933 43.720267),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
162 Abbeywood Tr,banbury-don mills,43.749649,-79.363305,2680000,4,4,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,1,21,1,8,3,0,6,0,0,0,0,2,0,0,9,1,50,1,15,5,0,10,0,0,0,0,2,POINT (-79.363305 43.749649),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
521 - 255 The Donway W,banbury-don mills,43.739826,-79.346034,729000,2,2,,0,0,2,1,14,0,3,1,0,0,0,0,0,0,0,0,0,5,2,43,1,15,6,0,13,0,0,0,0,1,0,0,10,3,70,1,16,7,0,13,0,0,0,0,1,POINT (-79.346034 43.739826),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
104 - 225 The Donway W,banbury-don mills,43.733391,-79.347625,1435000,2,3,,0,0,1,2,15,1,10,6,0,8,0,0,0,0,1,0,0,5,3,52,1,15,7,0,8,0,0,0,0,1,0,0,6,3,73,1,20,7,0,8,0,0,0,0,1,POINT (-79.347625 43.733391),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
903 - 1103 Leslie St,banbury-don mills,43.720267,-79.347933,698000,2,2,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,3,0,0,0,0,0,0,0,0,0,0,1,1,61,0,10,1,0,3,0,0,0,0,0,POINT (-79.347933 43.720267),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
623 - 120 Dallimore Circ,banbury-don mills,43.730082,-79.332265,489000,1,1,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,1,1,0,1,0,0,0,0,0,0,0,3,2,61,1,14,4,0,6,0,0,0,0,0,POINT (-79.332265 43.730082),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
5 Terrington Crt,banbury-don mills,43.741986,-79.358048,1858000,4,1,,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,1,1,0,0,0,0,0,0,0,0,0,9,1,58,0,14,3,0,12,0,0,0,0,3,POINT (-79.358048 43.741986),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
270 Brighton Ave,bathurst manor,43.757593,-79.458141,1898000,5 bds,3 ba,,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46,0,7,3,0,8,0,0,0,0,0,0,1,5,2,86,0,7,3,0,8,0,0,0,0,0,POINT (-79.458141 43.757593),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445
