Street address,City,State,Zip/Postal Code,Country,Latitude,Longitude,Neighbourhood,Region
542 Delaware Ave N, Toronto,ON,M6H2V2,Canada,43.672077,-79.432791,Dovercourt Village,West Toronto
16 Yonge St SUITE 4006, Toronto,ON,M5E2A3,Canada,43.64325,-79.3764,Berczy Park,Downtown Toronto
185 Roehampton Ave #3201, Toronto,ON,M4P0C6,Canada,43.708956,-79.392982,Davisville North,Central Toronto
3845 Lake Shore Blvd W UNIT 1601, Toronto,ON,M8W4Y3,Canada,43.590672,-79.544208,Alderwood,Etobicoke
50 Lombard St #1903, Toronto,ON,M5C2X4,Canada,43.651856,-79.376003,St. James Town,Downtown Toronto
455 Wellington St W #509, Toronto,ON,M5V0V8,Canada,43.643152,-79.397171,CN Tower,Downtown Toronto
87 Peter St UNIT 2915, Toronto,ON,M5V2G4,Canada,43.646776,-79.392435,CN Tower,Downtown Toronto
408 Browns Line E #308, Toronto,ON,M8W0C3,Canada,43.601488,-79.54545,Alderwood,Etobicoke
40 Homewood Ave #2803, Toronto,ON,M4Y2K2,Canada,43.664229,-79.375535,Church and Wellesley,Downtown Toronto
1150 Briar Hill Ave #306, Toronto,ON,M6B0A9,Canada,43.703091,-79.452004,Glencairn,North York
369 Albany Ave #5, Toronto,ON,M5R3E2,Canada,43.676334,-79.414275,The Annex,Central Toronto
38 Joe Shuster Way #106, Toronto,ON,M6K0A5,Canada,43.640417,-79.424649,Brockton,West Toronto
1926 Lake Shore Blvd W #1805, Toronto,ON,M6S1A1,Canada,43.635856,-79.467386,Runnymede,West Toronto
60 Town Centre Ct #306, Toronto,ON,M1P0B1,Canada,43.7734,-79.255862,Dorset Park,Scarborough
190 Borough Dr #302, Toronto,ON,M1P0B6,Canada,43.772874,-79.253995,Dorset Park,Scarborough
1400 Kingston Rd #501, Toronto,ON,M1N0C2,Canada,43.686959,-79.272431,Birch Cliff,Scarborough
102 George Henry Blvd #15, Toronto,ON,M2J1E7,Canada,43.77432,-79.348116,Fairview,North York
9 Valhalla Inn Rd #501, Toronto,ON,M9B0B2,Canada,43.639837,-79.559418,Cloverdale,Etobicoke
31 Twyford Rd, Toronto,ON,M9A1W3,Canada,43.665533,-79.539719,Islington Avenue,Etobicoke
861 Sheppard Ave W #15, Toronto,ON,M3H2T5,Canada,43.752102,-79.453675,Bathurst Manor,North York
125 Western Battery Rd #2207, Toronto,ON,M6K3R8,Canada,43.639868,-79.416734,Brockton,West Toronto
3220 Sheppard Ave E #318, Toronto,ON,M1T0B7,Canada,43.777968,-79.312305,Clarks Corners,Scarborough
1 Oregon Trl, Toronto,ON,M9B1P4,Canada,43.639976,-79.552582,Cloverdale,Etobicoke
111 Newton Dr, Toronto,ON,M2M2N2,Canada,43.794606,-79.410102,Newtonbrook,North York
278 Bloor St E #905, Toronto,ON,M4W3M4,Canada,43.672265,-79.380454,Rosedale,Downtown Toronto
30 Anglesey Blvd #G2, Toronto,ON,M9A3B5,Canada,43.663784,-79.522679,Islington Avenue,Etobicoke
55 Stewart St UNIT 625, Toronto,ON,M5V2V1,Canada,43.643237,-79.401278,CN Tower,Downtown Toronto
2191 Yonge St #1708, Toronto,ON,M4S3H8,Canada,43.705666,-79.39739,Davisville,Central Toronto
271 Park Home Ave, Toronto,ON,M2R1A1,Canada,43.764323,-79.434004,Willowdale West,North York
1 King St W #2402, Toronto,ON,M5H1A1,Canada,43.648987,-79.37807,Adelaide,Downtown Toronto
34 Greengate Rd, Toronto,ON,M3B1E8,Canada,43.739958,-79.364228,Don Mills North,North York
10 Wilby Cres #1603, Toronto,ON,M9N0B6,Canada,43.697794,-79.512333,Weston,York
85 Drewry Ave, Toronto,ON,M2M1C9,Canada,43.78598,-79.421249,Newtonbrook,North York
5 Whitehall Rd, Toronto,ON,M4W2C5,Canada,43.683971,-79.38242,Rosedale,Downtown Toronto
66 Fontainbleau Dr, Toronto,ON,M2M1N9,Canada,43.793138,-79.432029,Newtonbrook,North York
57 Saint Joseph St #523, Toronto,ON,M5S0C5,Canada,43.665388,-79.388021,Harbord,Downtown Toronto
365 Beech Ave #219, Toronto,ON,M4E0C2,Canada,43.680037,-79.29045,The Beaches,East Toronto
80 Palace Pier Ct #101, Toronto,ON,M8V4C1,Canada,43.630714,-79.474027,Humber Bay Shores,Etobicoke
100 Harrison Garden Blvd #L02, Toronto,ON,M2N0C2,Canada,43.756982,-79.4044,Willowdale South,North York
70 Forest Manor Rd #3410, Toronto,ON,M2J0A9,Canada,43.689144,-79.404683,Fairview,North York
284 Ellis Ave, Toronto,ON,M6S2X2,Canada,43.645729,-79.472703,Runnymede,West Toronto
86 17th St, Toronto,ON,M8V3K4,Canada,43.602095,-79.517563,Humber Bay Shores,Etobicoke
3 Dailing Gate, Toronto,ON,M1B1Z3,Canada,43.791382,-79.22969,Rouge,Scarborough
120 Parliament St PENTHOUSE 2404, Toronto,ON,M5A0N6,Canada,43.653856,-79.363933,Harbourfront,Downtown Toronto
218 Pleasant Ave, Toronto,ON,M2M1M5,Canada,43.790667,-79.430102,Newtonbrook,North York
210 Westmount Ave, Toronto,ON,M6E3M8,Canada,43.680554,-79.443098,Caledonia-Fairbanks,York
11 Carisbrooke Sq, Toronto,ON,M1B4M2,Canada,43.81623,-79.214484,Rouge,Scarborough
2335 1/2 Gerrard St E, Toronto,ON,M4E2E6,Canada,43.685302,-79.293178,The Beaches,East Toronto
160 Flemington Rd #512, Toronto,ON,M6A0A9,Canada,43.723077,-79.448251,Lawrence Heights,North York
39 Bushell Ave, Toronto,ON,M4M3B8,Canada,43.671322,-79.334877,Studio District,East Toronto
133 Westminster Ave, Toronto,ON,M6R1N6,Canada,43.646774,-79.450533,Parkdale,West Toronto
11B Crawford St #11B, Toronto,ON,M6K3M3,Canada,43.640922,-79.413315,Brockton,West Toronto
86 Sloping Sky Mews #TOWNHOUSE 6, Toronto,ON,M5V0B3,Canada,43.636887,-79.403026,CN Tower,Downtown Toronto
993 Queen St W #223, Toronto,ON,M6J1H2,Canada,43.644646,-79.415649,Little Portugal,West Toronto
32 Brookfield Rd, Toronto,ON,M2P1A9,Canada,43.741523,-79.400732,York Mills West,North York
535 Brunswick Ave, Toronto,ON,M5R2Z6,Canada,43.673818,-79.410137,The Annex,Central Toronto
88 Anthony Rd, Toronto,ON,M3K1B4,Canada,43.729155,-79.466301,CFB Toronto,North York
36 Park Lawn Rd #203, Toronto,ON,M8V0E5,Canada,43.623467,-79.484321,Humber Bay Shores,Etobicoke
82 Greensides Ave, Toronto,ON,M6G3P7,Canada,43.679843,-79.429992,Christie,Downtown Toronto
259 Claremont St, Toronto,ON,M6J2N1,Canada,43.652938,-79.412094,Little Portugal,West Toronto
570 Wellington St W #13A, Toronto,ON,M5V2X5,Canada,43.642841,-79.403108,CN Tower,Downtown Toronto
51 Lady Bank Rd #501, Toronto,ON,M8Z0C9,Canada,43.624575,-79.511602,Kingsway Park South West,Etobicoke
8 The Esplanade #1908, Toronto,ON,M5E0A6,Canada,43.646227,-79.376346,Berczy Park,Downtown Toronto
58 Lytton Blvd, Toronto,ON,M4R1L3,Canada,43.71588,-79.403981,North Toronto West,Central Toronto
676 Richmond St W #106, Toronto,ON,M6J1C3,Canada,43.646269,-79.405919,Little Portugal,West Toronto
80 North Dr, Toronto,ON,M9A4R2,Canada,43.678079,-79.501451,Islington Avenue,Etobicoke
8 Eglinton Ave E #1910, Toronto,ON,M4P0C1,Canada,43.707141,-79.397703,Davisville North,Central Toronto
2639 Lake Shore Blvd W, Toronto,ON,M8V1G5,Canada,43.603501,-79.492054,Humber Bay Shores,Etobicoke
321 Concord Ave, Toronto,ON,M6H2P7,Canada,43.662575,-79.426988,Dovercourt Village,West Toronto
11 Park Manor Dr, Toronto,ON,M9B5C1,Canada,43.650254,-79.557219,Cloverdale,Etobicoke
38 Dan Leckie Way #2209, Toronto,ON,M5V2V6,Canada,43.637492,-79.398104,CN Tower,Downtown Toronto
65 Spring Garden Ave #1802, Toronto,ON,M2N6H9,Canada,43.764832,-79.409426,Willowdale South,North York
83 Anthony Rd, Toronto,ON,M3K1B5,Canada,43.72897,-79.465612,CFB Toronto,North York
31 Russell Hill Rd, Toronto,ON,M4V2S9,Canada,43.681167,-79.402842,Deer Park,Central Toronto
3 Pemberton Ave #2106, Toronto,ON,M2M4M1,Canada,43.780486,-79.413866,Newtonbrook,North York
17 Regal Rd, Toronto,ON,M6H2J5,Canada,43.674962,-79.433701,Dovercourt Village,West Toronto
60 Brian Harrison Way #302, Toronto,ON,M1P5J5,Canada,43.774024,-79.258007,Dorset Park,Scarborough
399 Lake Promenade, Toronto,ON,M8W1C3,Canada,43.586922,-79.539539,Alderwood,Etobicoke
141 Eastwood Ave, Toronto,ON,M1N3H4,Canada,43.694987,-79.269234,Birch Cliff,Scarborough
19 Western Battery Rd #1803, Toronto,ON,M6K3N9,Canada,43.63957,-79.411329,Brockton,West Toronto
43 Rusholme Rd, Toronto,ON,M6J3H3,Canada,43.650755,-79.426961,Little Portugal,West Toronto
6 Newmarket Ave, Toronto,ON,M4C1V7,Canada,43.689384,-79.307654,Woodbine Heights,East York
7 Ashley Park Rd, Toronto,ON,M9A4C9,Canada,43.662619,-79.516617,Islington Avenue,Etobicoke
54 Judy Sgro Ave, Toronto,ON,M3L0E4,Canada,43.727778,-79.523194,Downsview West,North York
50 Yorkville Ave #4403, Toronto,ON,M4W0A3,Canada,43.671667,-79.389667,Rosedale,Downtown Toronto
100 Ardwold Gate, Toronto,ON,M5R2W2,Canada,43.680418,-79.409322,The Annex,Central Toronto
111 Knowles Dr, Toronto,ON,M1X1T4,Canada,43.825488,-79.213639,Upper Rouge,Scarborough
231 Falstaff Ave, Toronto,ON,M6L2G6,Canada,43.718179,-79.490279,Downsview,North York
50 Bruyeres Mews #718, Toronto,ON,M5V0H8,Canada,43.637658,-79.402351,CN Tower,Downtown Toronto
48 Lockwood Rd, Toronto,ON,M4L3M8,Canada,43.669468,-79.310099,The Beaches West,East Toronto
200 Manitoba St #210, Toronto,ON,M8Y3Y9,Canada,43.623676,-79.492078,Humber Bay,Etobicoke
1787 Saint Clair Ave W #917, Toronto,ON,M6N1H9,Canada,43.673553,-79.461868,The Junction North,York
84 Chad Cres, Toronto,ON,M1B2Z6,Canada,43.814889,-79.209796,Rouge,Scarborough
176 Castlefield Ave, Toronto,ON,M4R1G7,Canada,43.710283,-79.40786,North Toronto West,Central Toronto
42 Fishleigh Dr, Toronto,ON,M1N1H2,Canada,43.700556,-79.248654,Birch Cliff,Scarborough
43 Florida Cres, Toronto,ON,M9M1P4,Canada,43.735016,-79.543367,Emery,North York
34 Kippendavie Ave, Toronto,ON,M4L3R4,Canada,43.666604,-79.303104,The Beaches West,East Toronto
203 Parkmount Rd, Toronto,ON,M4J4V5,Canada,43.682084,-79.32556,East Toronto,East York
7 Doncaster Ave, Toronto,ON,M4C1Y4,Canada,43.690493,-79.308029,Woodbine Heights,East York
42 Charles St E #2810, Toronto,ON,M4Y0B7,Canada,43.669355,-79.384182,Church and Wellesley,Downtown Toronto
1659 Gerrard St E, Toronto,ON,M4L2A9,Canada,43.675632,-79.31876,The Beaches West,East Toronto
29 Tarsus Cres, Toronto,ON,M1C3W6,Canada,43.79372,-79.183513,Highland Creek,Scarborough
101 Dunloe Rd, Toronto,ON,M5P2T7,Canada,43.696392,-79.413647,Forest Hill North,Central Toronto
2 Bellefair Ave UNIT 306, Toronto,ON,M4L3T8,Canada,43.670263,-79.300053,The Beaches West,East Toronto
225 Sumach St #2511, Toronto,ON,M5A0P8,Canada,43.661007,-79.360355,Harbourfront,Downtown Toronto
20 Edward St #1719, Toronto,ON,M5G0C5,Canada,43.657059,-79.382187,Central Bay Street,Downtown Toronto
117 Omni Dr #15, Toronto,ON,M1P5A5,Canada,43.771256,-79.261225,Dorset Park,Scarborough
8 Telegram Mews #622, Toronto,ON,M5V3Z5,Canada,43.640493,-79.394916,CN Tower,Downtown Toronto
104 Albany Ave, Toronto,ON,M5R3C4,Canada,43.668716,-79.411569,The Annex,Central Toronto
4060 Lawrence Ave E #108, Toronto,ON,M1E4V4,Canada,43.766351,-79.197594,Guildwood,Scarborough
20 Blue Jays Way #1106, Toronto,ON,M5V3W6,Canada,43.643797,-79.391668,CN Tower,Downtown Toronto
17 Zorra St #701, Toronto,ON,M8Z0C8,Canada,43.621292,-79.52083,Kingsway Park South West,Etobicoke
897 Sheppard Ave W #202, Toronto,ON,M3H2T4,Canada,43.751649,-79.455201,Bathurst Manor,North York
77 Charles St W #906, Toronto,ON,M5S0B2,Canada,43.667717,-79.390434,Harbord,Downtown Toronto
125 Alicewood Ct, Toronto,ON,M9V3Y1,Canada,43.730833,-79.596435,Albion Gardens,Etobicoke
300 Mill Rd #A31, Toronto,ON,M9C4W7,Canada,43.638084,-79.583984,Bloordale Gardens,Etobicoke
40 Fern Ave, Toronto,ON,M6R1K1,Canada,43.646039,-79.441856,Parkdale,West Toronto
290 Adelaide St W #2405, Toronto,ON,M5V1N1,Canada,43.647816,-79.391122,CN Tower,Downtown Toronto
78 Harrison Garden Blvd #2305, Toronto,ON,M2N7E2,Canada,43.756049,-79.407113,Willowdale South,North York
104 Natal Ave, Toronto,ON,M1N3V6,Canada,43.714075,-79.254723,Birch Cliff,Scarborough
214 Antibes Dr, Toronto,ON,M2R3H8,Canada,43.781975,-79.448556,Willowdale West,North York
503 Beecroft Rd #515, Toronto,ON,M2N0A2,Canada,43.778232,-79.417772,Willowdale South,North York
163 Brickworks Ln, Toronto,ON,M6N5H8,Canada,43.675475,-79.468816,The Junction North,York
56 Amiens Rd, Toronto,ON,M1E3S8,Canada,43.776434,-79.188258,Guildwood,Scarborough
50 Ordnance St #1703, Toronto,ON,M6K0C9,Canada,43.639789,-79.409842,Brockton,West Toronto
140 Brookside Dr, Toronto,ON,M4E2M2,Canada,43.680619,-79.306407,The Beaches,East Toronto
130 River St #2806, Toronto,ON,M5A0R8,Canada,43.661484,-79.358579,Harbourfront,Downtown Toronto
2885 Bayview Ave UNIT 717, Toronto,ON,M2K0A3,Canada,43.768608,-79.388063,Bayview Village,North York
20 Gladstone Ave #417, Toronto,ON,M6J0E9,Canada,43.643481,-79.427721,Little Portugal,West Toronto
570 Oriole Pkwy, Toronto,ON,M4R2C2,Canada,43.705679,-79.406974,North Toronto West,Central Toronto
23 Radwell Cres, Toronto,ON,M1V2J4,Canada,43.81922,-79.289585,Agincourt North,Scarborough
1603 Eglinton Ave W #504, Toronto,ON,M6E0A1,Canada,43.697042,-79.443072,Caledonia-Fairbanks,York
801 Midland Ave, Toronto,ON,M1K4E8,Canada,43.733573,-79.257355,East Birchmount Park,Scarborough
48 Gondola Cres, Toronto,ON,M1G2J3,Canada,43.767244,-79.209421,Woburn,Scarborough
314 Rosemary Rd, Toronto,ON,M5P3E3,Canada,43.696839,-79.421627,Forest Hill North,Central Toronto
18 Oaken Gtwy #18, North York,ON,M2P2A1,Canada,43.753729,-79.405545,York Mills West,North York
88 Turtle Island Rd #5, Toronto,ON,M6A2M7,Canada,43.722474,-79.444115,Lawrence Heights,North York
2 Garden Cir, Toronto,ON,M4G2X8,Canada,43.694975,-79.375138,Leaside,East York
4978 Yonge St UNIT 1911, Toronto,ON,M2N7G8,Canada,43.76562,-79.412725,Willowdale South,North York
18 Earnbridge St, Toronto,ON,M6K1N3,Canada,43.643518,-79.432357,Brockton,West Toronto
73 Maclean Ave, Toronto,ON,M4E2Z8,Canada,43.670799,-79.290289,The Beaches,East Toronto
3 Biggar Ave, Toronto,ON,M6H2N5,Canada,43.678959,-79.433611,Dovercourt Village,West Toronto
20 Fletcher Pl, Toronto,ON,M9R1K6,Canada,43.6912,-79.546078,Kingsview Village,Etobicoke
20 Niagara St #PENTHOUSE 1, Toronto,ON,M5V3L8,Canada,43.642374,-79.400916,CN Tower,Downtown Toronto
474 Russell Hill Rd, Toronto,ON,M5P2S7,Canada,43.697789,-79.413426,Forest Hill North,Central Toronto
1346 Danforth Rd #901, Toronto,ON,M1J0A9,Canada,43.743558,-79.244826,Scarborough Village,Scarborough
112 Laurel Ave, Toronto,ON,M1K3J9,Canada,43.72521,-79.258113,East Birchmount Park,Scarborough
20 Joe Shuster Way #202, Toronto,ON,M6K0A3,Canada,43.640144,-79.423917,Brockton,West Toronto
11 Kingsway Cres, Toronto,ON,M8X2P9,Canada,43.653748,-79.504572,The Kingsway,Etobicoke
270 Brighton Ave, Toronto,ON,M3H4E9,Canada,43.757593,-79.458141,Bathurst Manor,North York
38 S Kingslea Dr, Toronto,ON,M8Y2A4,Canada,43.641624,-79.496401,Humber Bay,Etobicoke
63 Ward St, Toronto,ON,M6H4A5,Canada,43.664115,-79.446402,Dovercourt Village,West Toronto
816 Lansdowne Ave #1015, Toronto,ON,M6H4K6,Canada,43.665661,-79.447378,Dovercourt Village,West Toronto
80 Chiswell Cres, Toronto,ON,M2N6E1,Canada,43.780901,-79.391894,Willowdale South,North York
6 Esterbrooke Ave #82, Toronto,ON,M2J2C2,Canada,43.779624,-79.352763,Fairview,North York
160 Howland Ave, Toronto,ON,M5R3B6,Canada,43.670989,-79.411014,The Annex,Central Toronto
58 Marine Parade Dr #1110, Toronto,ON,M8V4G1,Canada,43.627469,-79.477128,Humber Bay Shores,Etobicoke
223 Kennedy Rd, Toronto,ON,M1N3P4,Canada,43.706363,-79.257097,Birch Cliff,Scarborough
28A Wilberton Rd, Toronto,ON,M4V1Z3,Canada,43.694932,-79.401617,Deer Park,Central Toronto
20 Stewart St #204, Toronto,ON,M5V1H6,Canada,43.643775,-79.400667,CN Tower,Downtown Toronto
17 Maughan Cres, Toronto,ON,M4L3E4,Canada,43.670022,-79.316003,The Beaches West,East Toronto
101 Clearbrooke Cir, Toronto,ON,M9W2E9,Canada,43.721799,-79.561522,Northwest,Etobicoke
85 The Bridle Path, Toronto,ON,M3C2P1,Canada,43.732687,-79.364782,Flemingdon Park,North York
85 Emmett Ave #1012, Toronto,ON,M6M5A2,Canada,43.686963,-79.50605,Del Ray,York
212 Saint Clair Ave W, Toronto,ON,M4V1R2,Canada,43.686366,-79.404449,Deer Park,Central Toronto
11 Thornwood Rd, Toronto,ON,M4W2R8,Canada,43.681926,-79.385029,Rosedale,Downtown Toronto
10 Blakley Ave, Toronto,ON,M6N3Y5,Canada,43.671732,-79.481226,The Junction North,York
17 Strath Humber Ct, Toronto,ON,M9A4C8,Canada,43.661667,-79.515797,Islington Avenue,Etobicoke
7 Appleby Ct, Toronto,ON,M9B5A1,Canada,43.654048,-79.549576,Cloverdale,Etobicoke
18 Munro Park Ave, Toronto,ON,M4E3M3,Canada,43.671794,-79.283123,The Beaches,East Toronto
7 Brimley Rd S #D78, Toronto,ON,M1M3W3,Canada,43.706276,-79.231863,Cliffcrest,Scarborough
20/22 Park Lane Cir,Toronto,ON,M3B1Z7,Canada,43.633001,-79.354953,Don Mills North,North York
19 Country Ln,Toronto,ON,M2L1E1,Canada,43.74036,-79.380766,Silver Hills,North York
88 Forest Heights Blvd,Toronto,ON,M2L2K8,Canada,43.760595,-79.378477,Silver Hills,North York
45 Park Lane Cir,Toronto,ON,M3C2N3,Canada,43.730085,-79.369058,Flemingdon Park,North York
27 South Dr,Toronto,ON,M4W1R2,Canada,43.677229,-79.382582,Rosedale,Downtown Toronto
17 Ardwold Gate,Toronto,ON,M5R2W1,Canada,43.678881,-79.407258,The Annex,Central Toronto
36 Old Colony Rd,Toronto,ON,M2L2J8,Canada,43.758104,-79.382893,Silver Hills,North York
253 Dunvegan Rd,Toronto,ON,M5P2P5,Canada,43.699453,-79.414977,Forest Hill North,Central Toronto
45 Bayview Rdg,Toronto,ON,M2L1E3,Canada,43.741938,-79.387871,Silver Hills,North York
112 Mason Blvd,Toronto,ON,M5M3E3,Canada,43.741214,-79.412096,Bedford Park,North York
220 Victoria St #806,Toronto,ON,M5B2R6,Canada,43.654877,-79.379218,Ryerson,Downtown Toronto
27 Devondale Ave,Toronto,ON,M2R2C9,Canada,43.777838,-79.435334,Willowdale West,North York
45 Pegasus Trl,Toronto,ON,M1G3N6,Canada,43.780196,-79.221561,Woburn,Scarborough
73 Fishleigh Dr,Toronto,ON,M1N1H3,Canada,43.701371,-79.245529,Birch Cliff,Scarborough
1 Lake Shore Dr,Toronto,ON,M8V1Y9,Canada,43.601114,-79.497504,Humber Bay Shores,Etobicoke
12 Gradwell Dr,Toronto,ON,M1M2M9,Canada,43.71325,-79.235129,Cliffcrest,Scarborough
79 John St,Toronto,ON,M9N1J6,Canada,43.703998,-79.515164,Weston,York
20 Moccasin Trl,Toronto,ON,M3C1Y7,Canada,43.731688,-79.339069,Flemingdon Park,North York
55 Lynnhaven Rd,Toronto,ON,M6A2K7,Canada,43.721312,-79.439612,Lawrence Heights,North York
129 Clansman Blvd,Toronto,ON,M2H1Y3,Canada,43.802346,-79.361476,Hillcrest Village,North York
62 Portico Dr,Toronto,ON,M1G3R6,Canada,43.780543,-79.219347,Woburn,Scarborough
579 Indian Rd,Toronto,ON,M6P2C3,Canada,43.65804,-79.456608,High Park,West Toronto
6 Elward Blvd,Toronto,ON,M1L3L2,Canada,43.691459,-79.281882,Clairlea,Scarborough
483 Dupont St #103,Toronto,ON,M6G1Y6,Canada,43.672797,-79.415295,Christie,Downtown Toronto
55 Regency Sq,Toronto,ON,M1E1N4,Canada,43.752281,-79.194912,Guildwood,Scarborough
30 High Point Rd,Toronto,ON,M3C2R3,Canada,43.731817,-79.368833,Flemingdon Park,North York
200 Murison Blvd UNIT 67,Toronto,ON,M1B3R9,Canada,43.800088,-79.202935,Rouge,Scarborough
